,GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,team,team_id,players_list
0,Lineups,-203991-1629027-1630552-1630700-1642258-,C. Capela - T. Young - J. Johnson - D. Daniels - Z. Risacher,26,14,12,0.538,281.6483333333333,278,561,0.496,67,178,0.376,73,107,0.682,79,200,279,198,93.0,53,36,44,95,94,696,-1.0,1,1,752,318,1,1,1,234,2,2,172,1,1,201,1,1,1,1,753,2,1,753,753,1,1,509,Atlanta Hawks,1610612737,"['C. Capela', 'T. Young', 'J. Johnson', 'D. Daniels', 'Z. Risacher']"
159,Lineups,-1629611-1630168-1630249-1630700-1631243-,T. Mann - O. Okongwu - V. Krejčí - D. Daniels - M. Gueye,4,2,2,0.5,5.5,8,11,0.727,2,4,0.5,1,2,0.5,2,3,5,6,1.0,2,0,1,1,2,19,7.0,77,78,590,322,160,98,144,62,121,167,76,216,159,237,101,179,154,84,430,74,185,582,393,135,116,47,Atlanta Hawks,1610612737,"['T. Mann', 'O. Okongwu', 'V. Krejčí', 'D. Daniels', 'M. Gueye']"
160,Lineups,-203992-1629631-1630168-1630700-1641723-,B. Bogdanović - D. Hunter - O. Okongwu - D. Daniels - K. Bufkin,3,2,1,0.667,5.483333333333333,4,10,0.4,3,7,0.429,2,2,1.0,2,0,2,3,1.0,0,0,0,2,3,13,-8.0,112,78,257,276,161,174,155,294,83,96,145,139,159,1,101,395,264,160,430,251,185,1,528,111,161,699,Atlanta Hawks,1610612737,"['B. Bogdanović', 'D. Hunter', 'O. Okongwu', 'D. Daniels', 'K. Bufkin']"
161,Lineups,-1626204-1629027-1630249-1630811-1631243-,L. Nance Jr. - T. Young - V. Krejčí - K. Wallace - M. Gueye,1,1,0,1.0,5.416666666666667,3,10,0.3,0,2,0.0,0,0,0.0,0,7,7,2,2.0,1,3,0,2,1,6,4.0,297,152,1,1,162,217,155,382,300,263,300,284,300,284,258,81,110,209,564,127,18,1,528,220,268,90,Atlanta Hawks,1610612737,"['L. Nance Jr.', 'T. Young', 'V. Krejčí', 'K. Wallace', 'M. Gueye']"
162,Lineups,-1629726-1630249-1630811-1631223-1631230-,G. Mathews - V. Krejčí - K. Wallace - D. Roddy - D. Barlow,2,1,1,0.5,5.4,7,8,0.875,4,5,0.8,2,2,1.0,0,4,4,4,2.0,1,0,0,2,3,20,9.0,173,152,257,322,163,108,198,38,54,131,34,139,159,1,258,147,192,126,564,127,185,1,528,111,110,29,Atlanta Hawks,1610612737,"['G. Mathews', 'V. Krejčí', 'K. Wallace', 'D. Roddy', 'D. Barlow']"
163,Lineups,-1629027-1629631-1629726-1630168-1631223-,T. Young - D. Hunter - G. Mathews - O. Okongwu - D. Roddy,1,0,1,0.0,5.35,6,7,0.857,3,4,0.75,2,2,1.0,0,5,5,5,5.0,0,1,0,1,1,17,2.0,297,473,257,473,164,127,216,41,83,167,37,139,159,1,258,120,154,103,687,251,81,1,393,220,127,138,Atlanta Hawks,1610612737,"['T. Young', 'D. Hunter', 'G. Mathews', 'O. Okongwu', 'D. Roddy']"
164,Lineups,-1626204-1629726-1630249-1630552-1642258-,L. Nance Jr. - G. Mathews - V. Krejčí - J. Johnson - Z. Risacher,1,0,1,0.0,5.338333333333333,4,10,0.4,2,5,0.4,6,8,0.75,1,6,7,4,1.0,2,0,2,1,5,16,9.0,297,473,257,473,165,174,155,294,121,131,158,50,51,173,159,102,110,126,430,74,185,682,393,63,136,29,Atlanta Hawks,1610612737,"['L. Nance Jr.', 'G. Mathews', 'V. Krejčí', 'J. Johnson', 'Z. Risacher']"
165,Lineups,-1626204-1629726-1630552-1630811-1631223-,L. Nance Jr. - G. Mathews - J. Johnson - K. Wallace - D. Roddy,3,1,2,0.333,5.321666666666666,4,8,0.5,1,4,0.25,1,2,0.5,2,4,6,1,4.0,0,1,0,5,1,10,-6.0,112,152,590,421,166,174,198,155,179,167,246,216,159,237,101,147,132,278,666,251,81,1,661,220,201,671,Atlanta Hawks,1610612737,"['L. Nance Jr.', 'G. Mathews', 'J. Johnson', 'K. Wallace', 'D. Roddy']"
166,Lineups,-203992-1630168-1630700-1641723-1642258-,B. Bogdanović - O. Okongwu - D. Daniels - K. Bufkin - Z. Risacher,1,1,0,1.0,5.283333333333333,2,9,0.222,2,7,0.286,0,0,0.0,0,4,4,2,1.0,0,2,0,3,3,6,-3.0,297,152,1,1,167,260,180,415,121,96,234,284,300,284,258,147,192,209,430,251,41,1,593,111,268,597,Atlanta Hawks,1610612737,"['B. Bogdanović', 'O. Okongwu', 'D. Daniels', 'K. Bufkin', 'Z. Risacher']"
167,Lineups,-1629631-1630168-1630249-1630552-1641723-,D. Hunter - O. Okongwu - V. Krejčí - J. Johnson - K. Bufkin,1,1,0,1.0,5.283333333333333,5,9,0.556,0,2,0.0,3,4,0.75,2,2,4,2,2.0,1,0,1,1,4,13,3.0,297,152,1,1,167,144,180,128,300,263,300,102,99,173,101,225,192,209,564,127,185,582,393,77,161,108,Atlanta Hawks,1610612737,"['D. Hunter', 'O. Okongwu', 'V. Krejčí', 'J. Johnson', 'K. Bufkin']"
