TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON_TYPE
1610612737,Atlanta Hawks,43,20,23,0.465,184.033333,139,328,0.424,27,98,0.276,97,125,0.776,45,114,159,54,43.0,19,24,29,93,87,402,-64.0,13,17,19,18,7,7,5,19,21,16,25,13,14,17,8,10,6,24,19,17,3,30,20,13,8,28,Regular Season
1610612738,Boston Celtics,37,24,13,0.649,170.271667,120,287,0.418,43,135,0.319,103,129,0.798,38,109,147,68,38.0,13,20,14,91,108,386,32.0,22,8,2,2,12,15,14,23,4,4,16,10,12,11,15,12,14,12,8,26,12,11,15,5,11,7,Regular Season
1610612751,Brooklyn Nets,40,24,16,0.6,134.763333,104,212,0.491,39,96,0.406,76,102,0.745,20,85,105,56,33.0,18,18,15,76,77,323,6.0,19,8,5,4,26,22,27,3,10,19,1,27,27,22,29,26,29,22,5,19,14,12,7,24,24,14,Regular Season
1610612766,Charlotte Hornets,43,20,23,0.465,163.153333,129,298,0.433,40,119,0.336,84,123,0.683,45,105,150,78,37.0,14,15,19,92,86,382,-14.0,13,17,19,18,17,10,10,15,8,8,11,25,16,29,8,15,12,4,7,24,19,19,17,17,12,20,Regular Season
1610612741,Chicago Bulls,38,15,23,0.395,178.065,133,292,0.455,25,94,0.266,107,130,0.823,26,117,143,64,39.0,32,21,21,88,87,398,0.0,21,26,19,27,8,9,12,6,24,20,27,7,10,5,27,7,16,14,10,2,10,24,12,13,10,17,Regular Season
1610612739,Cleveland Cavaliers,45,24,21,0.533,169.776667,124,290,0.428,34,100,0.34,85,118,0.72,47,112,159,60,48.0,18,18,22,94,96,367,25.0,6,8,13,10,13,13,13,17,13,15,10,23,19,26,5,11,6,18,22,19,14,25,21,9,14,9,Regular Season
1610612742,Dallas Mavericks,55,26,29,0.473,230.093333,152,361,0.421,55,194,0.284,124,171,0.725,41,144,185,82,48.0,22,22,12,126,133,483,3.0,1,5,29,16,1,4,1,21,1,1,23,4,2,25,11,1,3,2,22,10,7,5,29,1,4,15,Regular Season
1610612743,Denver Nuggets,37,22,15,0.595,141.671667,99,223,0.444,33,97,0.34,95,135,0.704,29,92,121,62,39.0,20,22,12,64,87,326,35.0,22,14,3,5,24,24,25,9,15,17,9,15,8,28,25,22,24,16,10,15,7,5,3,13,22,5,Regular Season
1610612765,Detroit Pistons,37,11,26,0.297,143.596667,85,225,0.378,36,102,0.353,88,116,0.759,35,85,120,48,31.0,14,10,20,101,72,294,-78.0,22,29,26,30,23,27,24,30,12,14,7,19,21,20,19,26,25,26,2,24,25,22,22,28,27,30,Regular Season
1610612744,Golden State Warriors,41,20,21,0.488,172.53,125,315,0.397,53,166,0.319,64,82,0.78,52,138,190,79,52.0,22,25,23,92,77,367,-7.0,17,17,13,15,10,11,7,28,2,2,15,29,29,15,3,3,2,3,25,10,1,26,17,24,14,18,Regular Season
1610612745,Houston Rockets,40,16,24,0.4,132.346667,79,204,0.387,19,67,0.284,88,130,0.677,35,104,139,40,53.0,21,17,19,69,85,265,-34.0,19,25,23,25,27,29,28,29,28,28,22,19,10,30,19,16,18,29,28,13,17,19,5,20,29,24,Regular Season
1610612754,Indiana Pacers,48,25,23,0.521,165.401667,117,280,0.418,38,128,0.297,104,126,0.825,37,104,141,61,39.0,20,22,25,106,80,376,-24.0,4,6,19,13,15,17,15,24,11,6,20,8,13,4,17,16,17,17,10,15,7,28,25,22,13,21,Regular Season
1610612746,LA Clippers,42,22,20,0.524,139.961667,116,237,0.489,27,83,0.325,92,114,0.807,25,95,120,65,36.0,15,13,9,69,77,351,20.0,16,14,10,11,25,18,21,4,21,26,13,16,22,7,28,20,25,13,6,23,23,2,5,24,17,11,Regular Season
1610612747,Los Angeles Lakers,44,23,21,0.523,172.368333,143,314,0.455,33,108,0.306,100,136,0.735,43,107,150,72,19.0,21,15,18,92,98,419,26.0,9,11,13,12,11,5,8,7,15,11,18,12,7,23,10,13,12,8,1,13,19,16,17,8,6,8,Regular Season
1610612763,Memphis Grizzlies,36,21,15,0.583,109.701667,84,191,0.44,16,61,0.262,103,134,0.769,41,69,110,45,32.0,11,7,12,58,86,287,12.0,26,16,3,7,30,28,29,13,30,29,28,10,9,19,11,29,28,27,4,29,29,5,1,17,28,13,Regular Season
1610612748,Miami Heat,54,32,22,0.593,213.616667,161,352,0.457,43,135,0.319,138,167,0.826,39,136,175,76,48.0,37,23,13,105,121,503,69.0,2,1,17,6,2,2,2,5,4,4,16,1,3,3,14,4,5,6,22,1,5,9,24,3,2,2,Regular Season
1610612749,Milwaukee Bucks,35,27,8,0.771,128.318333,99,223,0.444,33,89,0.371,71,91,0.78,31,100,131,57,43.0,9,9,7,66,72,302,35.0,29,4,1,1,28,24,25,9,15,24,4,28,28,16,23,18,19,20,19,30,26,1,4,28,25,5,Regular Season
1610612750,Minnesota Timberwolves,48,28,20,0.583,187.191667,134,313,0.428,40,124,0.323,91,125,0.728,41,115,156,70,56.0,29,24,16,89,93,399,14.0,4,2,10,7,5,8,9,16,8,7,14,17,14,24,11,8,9,10,29,3,3,13,13,10,9,12,Regular Season
1610612740,New Orleans Pelicans,37,17,20,0.459,152.11,125,251,0.498,26,73,0.356,85,110,0.773,27,86,113,73,38.0,23,15,13,80,88,361,43.0,22,22,10,20,18,11,20,2,23,27,5,23,24,18,26,25,27,7,8,8,19,9,8,12,16,4,Regular Season
1610612752,New York Knicks,45,23,22,0.511,199.53,141,322,0.438,34,115,0.296,130,173,0.751,58,125,183,58,52.0,23,23,24,138,123,446,-65.0,6,11,17,14,3,6,6,14,13,9,21,2,1,21,1,5,4,19,25,8,5,27,30,2,5,29,Regular Season
1610612760,Oklahoma City Thunder,43,17,26,0.395,167.956667,119,296,0.402,25,92,0.272,87,108,0.806,38,115,153,57,39.0,29,9,19,111,87,350,-30.0,13,22,26,26,14,16,11,27,24,21,26,21,26,9,15,8,10,20,10,3,26,19,27,13,19,22,Regular Season
1610612753,Orlando Magic,44,19,25,0.432,148.875,111,252,0.44,25,90,0.278,104,117,0.889,34,91,125,51,43.0,17,9,20,107,79,351,-39.0,9,20,24,22,19,20,19,12,24,22,24,8,20,1,22,24,22,25,19,22,26,22,26,23,17,27,Regular Season
1610612755,Philadelphia 76ers,45,28,17,0.622,176.153333,122,276,0.442,42,106,0.396,119,139,0.856,35,124,159,78,52.0,27,17,17,91,102,405,75.0,6,2,6,3,9,14,17,11,7,13,2,6,6,2,19,6,6,4,25,6,17,14,15,7,7,1,Regular Season
1610612756,Phoenix Suns,36,17,19,0.472,145.708333,105,256,0.41,31,90,0.344,84,119,0.706,52,77,129,63,40.0,25,15,17,80,86,325,-9.0,26,22,8,17,22,21,18,26,19,22,8,25,17,27,3,28,21,15,14,7,19,14,8,17,23,19,Regular Season
1610612757,Portland Trail Blazers,36,15,21,0.417,147.978333,100,236,0.424,32,97,0.33,97,119,0.815,30,92,122,55,42.0,13,18,18,82,90,329,-33.0,26,26,13,24,21,23,22,20,18,17,12,13,17,6,24,22,23,23,16,26,14,16,10,11,21,23,Regular Season
1610612758,Sacramento Kings,44,25,19,0.568,184.49,172,339,0.507,43,114,0.377,121,150,0.807,46,106,152,71,31.0,29,6,18,90,108,508,49.0,9,6,8,9,6,1,4,1,4,10,3,5,5,8,6,14,11,9,2,3,30,16,14,5,1,3,Regular Season
1610612759,San Antonio Spurs,28,11,17,0.393,111.253333,76,178,0.427,17,57,0.298,64,80,0.8,20,67,87,43,40.0,12,11,11,62,50,233,-35.0,30,29,6,28,29,30,30,18,29,30,19,29,30,10,29,30,30,28,14,28,24,3,2,30,30,25,Regular Season
1610612761,Toronto Raptors,44,19,25,0.432,163.226667,116,277,0.419,28,107,0.262,87,110,0.791,46,98,144,70,42.0,22,21,11,103,84,347,2.0,9,20,24,22,16,18,16,22,20,12,29,21,24,12,6,19,15,10,16,10,10,3,23,21,20,16,Regular Season
1610612762,Utah Jazz,52,23,29,0.442,199.301667,153,341,0.449,53,150,0.353,130,166,0.783,57,143,200,87,57.0,18,20,28,115,116,489,21.0,3,11,29,21,4,3,3,8,2,3,6,2,4,14,2,2,1,1,30,19,12,29,28,4,3,10,Regular Season
1610612764,Washington Wizards,41,15,26,0.366,148.831667,95,230,0.413,21,88,0.239,89,113,0.788,36,95,131,37,42.0,19,25,12,82,77,300,-35.0,17,26,26,29,20,26,23,25,27,25,30,18,23,13,18,20,19,30,16,17,1,5,10,24,26,25,Regular Season
1610612737,Atlanta Hawks,4,2,2,0.5,11.283333,6,19,0.316,4,8,0.5,7,8,0.875,3,7,10,0,1.0,2,2,0,5,6,23,-8.0,9,8,3,7,13,13,11,15,10,12,1,11,11,5,9,12,11,16,2,7,6,1,4,10,13,12,Playoffs
1610612738,Boston Celtics,11,5,6,0.455,39.526667,28,66,0.424,11,37,0.297,20,26,0.769,13,21,34,18,11.0,2,6,6,25,22,87,-2.0,2,3,16,9,1,1,1,9,1,1,9,3,3,12,1,4,2,2,16,7,1,16,15,3,3,9,Playoffs
1610612751,Brooklyn Nets,1,0,1,0.0,5.1,2,8,0.25,0,2,0.0,1,2,0.5,1,2,3,1,2.0,1,0,1,3,1,5,-10.0,15,13,1,13,15,16,15,16,15,15,15,16,15,16,12,15,15,15,3,13,12,4,3,15,16,13,Playoffs
1610612739,Cleveland Cavaliers,1,0,1,0.0,4.283333,4,7,0.571,0,2,0.0,2,2,1.0,1,1,2,2,0.0,2,0,0,2,1,10,-2.0,15,13,1,13,16,15,16,1,15,15,15,15,15,1,12,16,16,14,1,7,12,1,1,15,15,9,Playoffs
1610612743,Denver Nuggets,12,8,4,0.667,35.931667,28,59,0.475,5,19,0.263,29,37,0.784,9,25,34,19,9.0,6,4,3,18,25,90,15.0,1,1,13,1,3,1,3,4,5,5,11,2,2,11,2,2,2,1,13,2,3,12,14,2,2,2,Playoffs
1610612744,Golden State Warriors,6,2,4,0.333,25.376667,18,45,0.4,8,26,0.308,5,5,1.0,4,14,18,12,9.0,5,4,1,17,3,49,-15.0,5,8,13,10,5,4,5,10,2,2,8,12,12,1,8,5,6,3,13,3,3,4,13,13,6,15,Playoffs
1610612746,LA Clippers,3,1,2,0.333,8.978333,6,17,0.353,3,11,0.273,10,10,1.0,3,8,11,5,6.0,1,1,0,9,6,25,1.0,12,11,3,10,14,13,14,14,11,9,10,9,10,1,9,9,9,9,8,13,10,1,8,10,11,8,Playoffs
1610612747,Los Angeles Lakers,7,4,3,0.571,31.211667,18,46,0.391,5,22,0.227,20,24,0.833,7,24,31,7,10.0,5,3,3,14,17,61,4.0,4,4,11,6,4,4,4,11,5,4,14,3,4,8,6,3,4,8,15,3,5,12,12,4,4,6,Playoffs
1610612763,Memphis Grizzlies,2,0,2,0.0,12.783333,7,18,0.389,2,8,0.25,3,4,0.75,1,7,8,5,4.0,2,2,1,8,2,19,-14.0,13,13,3,13,11,11,13,12,13,12,12,14,14,13,12,12,13,9,5,7,6,4,7,14,14,14,Playoffs
1610612748,Miami Heat,11,7,4,0.636,38.606667,28,62,0.452,6,26,0.231,38,44,0.864,8,28,36,10,7.0,10,5,2,25,26,100,17.0,2,2,13,3,2,1,2,8,3,2,13,1,1,6,3,1,1,4,12,1,2,9,15,1,1,1,Playoffs
1610612749,Milwaukee Bucks,2,0,2,0.0,12.451667,7,19,0.368,2,6,0.333,8,13,0.615,2,9,11,5,6.0,2,1,1,9,8,24,-18.0,13,13,3,13,12,11,11,13,13,14,6,10,9,15,11,8,9,9,8,7,10,4,8,9,12,16,Playoffs
1610612750,Minnesota Timberwolves,4,1,3,0.25,12.913333,12,22,0.545,6,12,0.5,4,5,0.8,1,5,6,8,2.0,1,2,2,9,6,34,-4.0,9,11,11,12,10,8,10,2,3,7,1,13,12,10,12,14,14,6,3,13,6,9,8,10,10,11,Playoffs
1610612752,New York Knicks,5,3,2,0.6,15.245,12,25,0.48,5,12,0.417,15,17,0.882,8,8,16,3,6.0,0,0,1,7,9,44,13.0,7,6,3,4,9,8,9,3,5,7,4,6,6,4,3,9,8,13,8,16,12,4,5,8,8,3,Playoffs
1610612755,Philadelphia 76ers,5,3,2,0.6,23.8,18,38,0.474,5,13,0.385,12,14,0.857,8,14,22,5,4.0,5,2,5,12,14,53,4.0,7,6,3,4,6,4,6,5,5,6,5,8,8,7,3,5,5,9,5,3,6,15,11,6,5,6,Playoffs
1610612756,Phoenix Suns,6,4,2,0.667,15.735,12,26,0.462,3,9,0.333,16,22,0.727,1,8,9,10,4.0,4,0,2,7,15,43,9.0,5,4,3,1,8,8,8,6,11,11,6,5,5,14,12,9,12,4,5,6,12,9,5,5,9,5,Playoffs
1610612758,Sacramento Kings,4,2,2,0.5,17.56,15,33,0.455,5,10,0.5,14,17,0.824,6,12,18,8,6.0,2,0,4,2,11,49,10.0,9,8,3,7,7,7,7,7,5,10,1,7,6,9,7,7,6,6,8,7,12,14,1,7,6,4,Playoffs
