PLAYER_ID,PLAYER_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TOV_PCT,E_USG_PCT,E_PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,E_DEF_RATING_RANK,E_NET_RATING_RANK,E_AST_RATIO_RANK,E_OREB_PCT_RANK,E_DREB_PCT_RANK,E_REB_PCT_RANK,E_TOV_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,SEASON_TYPE
1627736,Malik Beasley,82,44,38,0.537,27.8,112.1,109.5,2.6,10.3,0.023,0.079,0.051,6.127,0.222,103.64,1,62,475,240,130,211,207,173,500,464,525,529,35,128,99,Regular Season
1642267,Bub Carrington,82,18,64,0.22,30.0,102.5,117.4,-14.9,28.2,0.014,0.131,0.072,10.927,0.159,103.44,1,312,569,514,102,492,508,533,58,523,305,396,35,359,107,Regular Season
1630577,Julian Champagnie,82,34,48,0.415,23.6,112.0,113.8,-1.8,12.5,0.036,0.137,0.087,8.302,0.17,102.69,1,157,542,378,212,214,408,303,438,340,273,308,35,301,161,Regular Season
1628386,Jarrett Allen,82,64,18,0.78,28.0,120.9,109.5,11.4,15.5,0.106,0.266,0.189,9.539,0.158,102.69,1,1,211,44,123,19,207,38,350,66,29,38,35,368,161,Regular Season
1630224,Jalen Green,82,52,30,0.634,32.9,111.2,109.6,1.6,13.6,0.017,0.136,0.075,9.808,0.273,101.57,1,19,383,112,49,247,214,200,404,500,279,375,35,46,260,Regular Season
1627741,Buddy Hield,82,48,34,0.585,22.7,111.1,110.3,0.7,12.9,0.029,0.126,0.076,8.757,0.202,101.3,1,30,441,195,221,251,253,227,425,409,327,372,35,188,291,Regular Season
101108,Chris Paul,82,34,48,0.415,28.0,113.5,114.4,-0.9,44.6,0.016,0.123,0.069,9.503,0.141,101.05,1,157,542,378,125,147,431,268,10,512,343,410,35,444,310,Regular Season
203084,Harrison Barnes,82,34,48,0.415,27.2,113.7,114.5,-0.9,14.2,0.046,0.102,0.074,5.227,0.158,100.91,1,157,542,378,141,139,435,268,388,268,429,383,35,368,326,Regular Season
1629638,Nickeil Alexander-Walker,82,49,33,0.598,25.3,114.1,108.0,6.1,22.5,0.03,0.112,0.071,10.001,0.16,100.23,1,25,428,173,176,128,144,93,142,400,383,402,35,353,388,Regular Season
1628969,Mikal Bridges,82,51,31,0.622,37.0,116.4,112.1,4.3,18.3,0.028,0.07,0.049,7.89,0.196,99.31,1,22,395,135,4,68,325,140,260,425,540,535,35,207,446,Regular Season
1630183,Jaden McDaniels,82,49,33,0.598,31.9,112.6,108.8,3.8,14.2,0.055,0.141,0.098,8.273,0.164,99.15,1,25,428,173,71,185,177,147,390,209,265,243,35,333,453,Regular Season
1642264,Stephon Castle,81,33,48,0.407,26.7,112.0,115.2,-3.3,20.1,0.044,0.105,0.074,10.738,0.259,102.42,12,166,542,386,155,214,454,350,197,282,416,385,35,61,192,Regular Season
1641842,Ronald Holland II,81,44,37,0.543,15.6,109.2,110.2,-1.0,13.1,0.035,0.156,0.096,11.544,0.183,101.62,12,62,465,235,354,314,247,276,418,350,218,258,35,254,255,Regular Season
202685,Jonas Valančiūnas,81,23,58,0.284,18.8,108.7,119.3,-10.7,16.7,0.14,0.315,0.229,12.2,0.228,101.32,12,265,567,468,299,335,535,486,313,25,8,3,35,114,286,Regular Season
1626145,Tyus Jones,81,36,45,0.444,26.8,113.4,116.0,-2.6,34.9,0.021,0.077,0.05,7.41,0.163,99.32,12,136,529,353,152,153,476,331,24,472,531,533,35,336,445,Regular Season
1641824,Matas Buzelis,80,39,41,0.488,18.9,110.7,111.6,-0.9,10.5,0.038,0.15,0.095,9.795,0.185,105.48,16,100,512,299,294,265,303,268,497,327,235,261,35,245,45,Regular Season
1627752,Taurean Prince,80,46,34,0.575,27.1,113.7,113.5,0.2,20.1,0.018,0.123,0.072,10.62,0.125,101.52,16,45,441,207,145,139,391,237,203,498,344,397,35,504,264,Regular Season
201572,Brook Lopez,80,47,33,0.588,31.8,114.1,111.6,2.5,13.5,0.05,0.118,0.086,7.912,0.159,101.07,16,36,428,191,73,128,303,177,406,235,363,314,35,359,308,Regular Season
1629675,Naz Reid,80,47,33,0.588,27.5,114.9,108.4,6.5,14.2,0.047,0.192,0.121,8.471,0.215,100.04,16,36,428,191,136,105,165,86,389,262,127,161,35,145,401,Regular Season
1627826,Ivica Zubac,80,50,30,0.625,32.8,115.0,106.1,8.9,15.4,0.134,0.301,0.22,9.158,0.195,99.68,16,23,383,127,51,104,79,60,354,32,13,8,35,210,419,Regular Season
1631165,Keon Ellis,80,39,41,0.488,24.4,115.5,112.4,3.1,17.3,0.035,0.09,0.062,10.248,0.129,99.67,16,100,512,299,195,87,336,157,290,351,489,466,35,489,423,Regular Season
1630202,Payton Pritchard,80,59,21,0.738,28.4,117.4,108.3,9.1,22.1,0.049,0.099,0.074,6.561,0.19,97.13,16,6,253,58,119,55,158,56,150,247,442,387,35,225,536,Regular Season
1630590,Scotty Pippen Jr.,79,46,33,0.582,21.3,110.8,108.2,2.6,30.1,0.04,0.121,0.08,11.956,0.195,106.43,23,45,428,200,245,261,149,173,44,317,351,339,35,210,24,Regular Season
1642377,Jaylen Wells,79,47,32,0.595,25.9,114.6,111.0,3.6,14.4,0.046,0.093,0.069,7.345,0.158,106.02,23,36,413,180,166,112,284,151,380,274,478,412,35,368,34,Regular Season
1641763,Julian Phillips,79,37,42,0.468,14.2,113.5,111.0,2.5,10.1,0.064,0.094,0.079,6.987,0.13,103.76,23,124,517,316,383,147,284,177,506,172,469,347,35,485,95,Regular Season
1630167,Obi Toppin,79,48,31,0.608,19.6,114.1,116.2,-2.1,15.1,0.041,0.191,0.115,8.046,0.197,103.7,23,30,395,160,283,128,481,311,363,310,132,178,35,206,97,Regular Season
1627777,Georges Niang,79,55,24,0.696,21.5,118.7,113.0,5.7,13.2,0.031,0.146,0.088,9.779,0.182,102.95,23,11,291,74,242,46,368,105,415,384,250,298,35,259,145,Regular Season
204456,T.J. McConnell,79,49,30,0.62,17.9,113.0,113.8,-0.9,31.4,0.036,0.119,0.078,9.751,0.234,102.86,23,25,383,137,316,169,408,268,39,344,362,359,35,101,153,Regular Season
1631128,Christian Braun,79,48,31,0.608,33.9,122.0,113.0,8.9,17.1,0.044,0.122,0.086,6.743,0.159,101.95,23,30,395,160,37,12,368,60,299,280,346,313,35,359,227,Regular Season
203915,Spencer Dinwiddie,79,37,42,0.468,27.0,109.8,114.8,-5.0,28.1,0.01,0.096,0.054,8.226,0.181,101.64,23,124,517,316,149,294,447,384,59,544,456,512,35,264,253,Regular Season
201935,James Harden,79,50,29,0.633,35.3,113.7,108.0,5.7,26.7,0.023,0.161,0.093,13.231,0.294,100.09,23,23,362,113,20,139,144,105,73,463,203,274,35,23,398,Regular Season
1630553,Keon Johnson,79,25,54,0.316,24.4,103.0,113.3,-10.2,15.5,0.035,0.143,0.087,10.255,0.217,99.76,23,252,557,448,194,485,383,477,351,348,263,311,35,141,416,Regular Season
1630162,Anthony Edwards,79,48,31,0.608,36.3,114.7,109.8,4.9,14.7,0.024,0.149,0.087,10.212,0.314,99.61,23,30,395,160,9,108,223,126,374,450,240,303,35,13,425,Regular Season
1630592,Jalen Wilson,79,25,54,0.316,25.7,105.6,112.2,-6.6,15.8,0.04,0.117,0.077,8.619,0.166,98.47,23,252,557,448,169,430,327,418,341,313,367,366,35,325,500,Regular Season
1631105,Jalen Duren,78,43,35,0.551,26.1,114.2,112.9,1.4,21.0,0.155,0.292,0.224,13.634,0.163,102.37,35,75,447,229,161,123,365,204,173,16,17,5,35,336,195,Regular Season
