PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,G,MIN,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,PCT_LOOSE_BALLS_RECOVERED_OFF,PCT_LOOSE_BALLS_RECOVERED_DEF,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF,PCT_BOX_OUTS_TEAM_REB,PCT_BOX_OUTS_REB,SEASON_TYPE
1630639,A.J. Lawson,1610612761,TOR,25.0,7,72.0,10,8,2,7,0,0,0,0,0,0,0.0,0.0,0,1,1,0,1,0.0,1.0,1.0,0.0,Regular Season
1631260,AJ Green,1610612749,MIL,26.0,43,1277.0,162,90,72,61,3,11,24,3,18,21,0.143,0.857,0,27,27,6,27,0.0,1.0,1.0,0.222,Regular Season
1642358,AJ Johnson,1610612764,WAS,21.0,17,166.0,25,11,14,10,0,2,4,2,0,2,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
203932,Aaron Gordon,1610612743,DEN,30.0,23,642.0,68,49,19,17,0,23,54,5,5,10,0.5,0.5,1,7,8,5,9,0.111,0.778,1.0,0.625,Regular Season
1628988,Aaron Holiday,1610612745,HOU,29.0,28,419.0,63,32,31,24,1,5,10,2,3,5,0.4,0.6,0,4,4,0,4,0.0,1.0,1.0,0.0,Regular Season
1630174,Aaron Nesmith,1610612754,IND,26.0,28,857.0,151,91,60,39,4,21,42,12,6,18,0.667,0.333,2,10,12,6,12,0.167,0.833,1.0,0.5,Regular Season
1630598,Aaron Wiggins,1610612760,OKC,27.0,35,832.0,162,92,70,68,0,15,32,9,15,24,0.375,0.625,0,6,6,5,6,0.0,1.0,1.0,0.833,Regular Season
1642846,Ace Bailey,1610612762,UTA,19.0,43,1077.0,183,95,88,57,0,9,19,18,6,24,0.75,0.25,2,21,23,10,23,0.087,0.913,1.0,0.435,Regular Season
1641737,Adem Bona,1610612755,PHI,22.0,38,627.0,210,151,59,41,0,57,140,8,12,20,0.4,0.6,17,18,35,23,35,0.486,0.514,1.0,0.657,Regular Season
1642876,Adou Thiero,1610612747,LAL,21.0,13,83.0,11,9,2,9,0,1,2,2,1,3,0.667,0.333,0,2,2,0,2,0.0,1.0,1.0,0.0,Regular Season
1642349,Ajay Mitchell,1610612760,OKC,23.0,42,1124.0,149,88,61,110,1,10,23,11,16,27,0.407,0.593,1,14,15,6,15,0.067,0.933,1.0,0.4,Regular Season
201143,Al Horford,1610612744,GSW,39.0,29,579.0,195,123,72,33,0,29,71,6,4,10,0.6,0.4,3,24,27,25,27,0.111,0.889,1.0,0.926,Regular Season
1627936,Alex Caruso,1610612760,OKC,31.0,32,582.0,83,36,47,103,2,18,38,5,13,18,0.278,0.722,0,13,13,9,13,0.0,1.0,1.0,0.692,Regular Season
1642259,Alex Sarr,1610612764,WAS,20.0,38,1088.0,385,295,90,54,0,132,312,11,8,19,0.579,0.421,26,33,59,48,59,0.441,0.559,1.0,0.814,Regular Season
1642918,Alijah Martin,1610612761,TOR,24.0,8,85.0,26,17,9,12,0,1,2,2,1,3,0.667,0.333,1,1,2,2,2,0.5,0.5,1.0,1.0,Regular Season
1630578,Alperen Sengun,1610612745,HOU,23.0,39,1363.0,320,213,107,112,3,86,199,23,12,35,0.657,0.343,27,39,65,46,66,0.409,0.591,0.985,0.697,Regular Season
1642873,Amari Williams,1610612738,BOS,24.0,10,104.0,35,24,11,4,0,9,26,0,0,0,0.0,0.0,2,4,6,3,6,0.333,0.667,1.0,0.5,Regular Season
1641708,Amen Thompson,1610612745,HOU,23.0,47,1759.0,184,119,65,124,1,18,43,21,23,44,0.477,0.523,13,13,26,20,26,0.5,0.5,1.0,0.769,Regular Season
1629599,Amir Coffey,1610612749,MIL,28.0,18,174.0,19,12,7,11,1,1,3,0,1,1,0.0,1.0,0,2,2,0,2,0.0,1.0,1.0,0.0,Regular Season
203083,Andre Drummond,1610612755,PHI,32.0,37,724.0,209,160,49,56,0,54,123,7,3,10,0.7,0.3,40,20,60,56,60,0.667,0.333,1.0,0.933,Regular Season
1641748,Andre Jackson Jr.,1610612749,MIL,24.0,15,123.0,12,9,3,11,0,6,12,2,3,5,0.4,0.6,3,0,3,1,3,1.0,0.0,1.0,0.333,Regular Season
1629614,Andrew Nembhard,1610612754,IND,26.0,39,1250.0,104,65,39,70,1,15,32,11,10,21,0.524,0.476,0,12,12,1,12,0.0,1.0,1.0,0.083,Regular Season
203952,Andrew Wiggins,1610612748,MIA,30.0,47,1466.0,351,189,162,100,0,6,15,20,10,30,0.667,0.333,9,34,40,17,43,0.209,0.791,0.93,0.395,Regular Season
1629014,Anfernee Simons,1610612738,BOS,26.0,48,1181.0,133,68,65,56,0,10,22,5,7,12,0.417,0.583,0,3,3,0,3,0.0,1.0,1.0,0.0,Regular Season
1641710,Anthony Black,1610612753,ORL,22.0,48,1496.0,209,111,98,147,1,12,28,6,16,22,0.273,0.727,0,15,15,6,15,0.0,1.0,1.0,0.4,Regular Season
203076,Anthony Davis,1610612742,DAL,32.0,20,626.0,194,133,61,48,2,56,119,3,1,4,0.75,0.25,15,17,32,28,32,0.469,0.531,1.0,0.875,Regular Season
1630162,Anthony Edwards,1610612750,MIN,24.0,40,1412.0,159,93,66,76,0,4,11,17,12,29,0.586,0.414,0,7,7,4,7,0.0,1.0,1.0,0.571,Regular Season
1630264,Anthony Gill,1610612764,WAS,33.0,16,125.0,30,23,7,17,0,4,9,2,1,3,0.667,0.333,2,8,10,7,10,0.2,0.8,1.0,0.7,Regular Season
1641810,Antonio Reeves,1610612766,CHA,25.0,5,49.0,9,4,5,1,0,0,0,0,0,0,0.0,0.0,0,2,2,1,2,0.0,1.0,1.0,0.5,Regular Season
1630574,Ariel Hukporti,1610612752,NYK,23.0,27,261.0,101,74,27,4,0,28,63,4,3,7,0.571,0.429,9,13,22,14,22,0.409,0.591,1.0,0.636,Regular Season
1642854,Asa Newell,1610612737,ATL,20.0,30,358.0,95,57,38,11,0,18,36,5,5,10,0.5,0.5,4,13,17,11,17,0.235,0.765,1.0,0.647,Regular Season
1641709,Ausar Thompson,1610612765,DET,23.0,44,1131.0,159,79,80,187,1,17,38,18,20,38,0.474,0.526,8,7,14,12,15,0.533,0.467,1.0,0.857,Regular Season
1630559,Austin Reaves,1610612747,LAL,27.0,23,812.0,76,36,40,41,10,6,12,15,11,26,0.577,0.423,0,8,8,1,8,0.0,1.0,1.0,0.125,Regular Season
1630245,Ayo Dosunmu,1610612741,CHI,26.0,44,1159.0,165,96,69,50,4,5,12,17,11,28,0.607,0.393,0,13,13,6,13,0.0,1.0,1.0,0.462,Regular Season
1628389,Bam Adebayo,1610612748,MIA,28.0,43,1339.0,274,165,109,99,2,55,125,16,12,28,0.571,0.429,16,92,103,69,108,0.148,0.852,0.954,0.639,Regular Season
1631248,Baylor Scheierman,1610612738,BOS,25.0,41,571.0,73,37,36,52,4,13,34,4,5,9,0.444,0.556,2,7,9,3,9,0.222,0.778,1.0,0.333,Regular Season
1642879,Ben Saraf,1610612751,BKN,19.0,15,290.0,43,30,13,26,0,2,6,2,2,4,0.5,0.5,1,1,2,1,2,0.5,0.5,1.0,0.5,Regular Season
1641767,Ben Sheppard,1610612754,IND,24.0,38,824.0,101,65,36,41,0,2,5,12,6,18,0.667,0.333,0,9,9,2,9,0.0,1.0,1.0,0.222,Regular Season
1631097,Bennedict Mathurin,1610612754,IND,23.0,27,857.0,77,48,29,25,1,7,16,6,3,9,0.667,0.333,1,12,13,6,13,0.077,0.923,1.0,0.462,Regular Season
1641731,Bilal Coulibaly,1610612764,WAS,21.0,29,765.0,102,67,35,99,1,10,26,4,5,9,0.444,0.556,3,7,10,8,10,0.3,0.7,1.0,0.8,Regular Season
202687,Bismack Biyombo,1610612759,SAS,33.0,9,62.0,18,16,2,1,0,8,21,0,0,0,0.0,0.0,2,2,4,4,4,0.5,0.5,1.0,1.0,Regular Season
1631104,Blake Wesley,1610612757,POR,22.0,6,101.0,3,1,2,19,0,0,0,0,2,2,0.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1626171,Bobby Portis,1610612749,MIL,30.0,47,1151.0,252,142,110,70,0,46,96,8,11,19,0.421,0.579,19,55,72,49,74,0.257,0.743,0.973,0.662,Regular Season
1641752,Bobi Klintman,1610612765,DET,22.0,7,56.0,10,4,6,6,1,2,4,1,0,1,1.0,0.0,0,1,1,1,1,0.0,1.0,1.0,1.0,Regular Season
203992,Bogdan Bogdanović,1610612746,LAC,33.0,16,360.0,61,34,27,16,0,6,17,3,3,6,0.5,0.5,0,3,3,3,3,0.0,1.0,1.0,1.0,Regular Season
1630538,Bones Hyland,1610612750,MIN,25.0,33,525.0,66,38,28,32,0,7,16,5,8,13,0.385,0.615,0,2,2,1,2,0.0,1.0,1.0,0.5,Regular Season
203078,Bradley Beal,1610612746,LAC,32.0,6,121.0,14,2,12,13,0,1,2,2,1,3,0.667,0.333,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1642382,Branden Carlson,1610612760,OKC,26.0,29,349.0,135,92,43,12,0,18,39,1,1,2,0.5,0.5,2,13,15,12,15,0.133,0.867,1.0,0.8,Regular Season
1641764,Brandin Podziemski,1610612744,GSW,22.0,50,1339.0,120,62,58,87,14,31,81,11,12,23,0.478,0.522,4,13,17,7,17,0.235,0.765,1.0,0.412,Regular Season
1629634,Brandon Clarke,1610612763,MEM,29.0,2,20.0,4,4,0,6,1,1,3,0,0,0,0.0,0.0,0,1,1,0,1,0.0,1.0,1.0,0.0,Regular Season
1627742,Brandon Ingram,1610612761,TOR,28.0,49,1672.0,250,136,114,82,0,13,31,14,12,26,0.538,0.462,0,18,18,10,18,0.0,1.0,1.0,0.556,Regular Season
1641706,Brandon Miller,1610612766,CHA,23.0,33,993.0,160,105,55,66,0,16,39,12,6,18,0.667,0.333,0,9,9,3,9,0.0,1.0,1.0,0.333,Regular Season
1630314,Brandon Williams,1610612742,DAL,26.0,42,927.0,120,65,55,76,1,6,15,9,14,23,0.391,0.609,0,10,10,5,10,0.0,1.0,1.0,0.5,Regular Season
1641729,Brice Sensabaugh,1610612762,UTA,22.0,43,974.0,101,50,51,57,5,16,37,9,7,16,0.563,0.438,4,16,20,12,20,0.2,0.8,1.0,0.6,Regular Season
1642355,Bronny James,1610612747,LAL,21.0,16,153.0,21,7,14,20,0,1,3,1,1,2,0.5,0.5,0,2,2,0,2,0.0,1.0,1.0,0.0,Regular Season
201572,Brook Lopez,1610612746,LAC,37.0,41,702.0,274,235,39,57,0,33,75,1,6,7,0.143,0.857,2,35,36,17,37,0.054,0.946,0.973,0.459,Regular Season
1642964,Brooks Barnhizer,1610612760,OKC,23.0,22,181.0,34,20,14,14,0,3,8,1,0,1,1.0,0.0,1,2,3,2,3,0.333,0.667,1.0,0.667,Regular Season
1628971,Bruce Brown,1610612743,DEN,29.0,50,1225.0,121,61,60,118,0,20,47,7,9,16,0.438,0.563,8,9,17,12,17,0.471,0.529,1.0,0.706,Regular Season
1631121,Bryce McGowens,1610612740,NOP,23.0,27,553.0,77,35,42,40,7,6,14,1,7,8,0.125,0.875,1,10,11,2,11,0.091,0.909,1.0,0.182,Regular Season
1642267,Bub Carrington,1610612764,WAS,20.0,47,1349.0,152,80,72,69,0,12,28,15,11,26,0.577,0.423,2,23,24,9,25,0.08,0.92,0.96,0.36,Regular Season
1627741,Buddy Hield,1610612744,GSW,33.0,41,721.0,123,73,50,70,0,5,11,11,10,21,0.524,0.476,0,4,4,1,4,0.0,1.0,1.0,0.25,Regular Season
203468,CJ McCollum,1610612737,ATL,34.0,46,1386.0,190,86,104,61,0,13,30,15,11,26,0.577,0.423,0,11,11,7,11,0.0,1.0,1.0,0.636,Regular Season
1630595,Cade Cunningham,1610612765,DET,24.0,42,1476.0,201,119,82,103,0,15,33,17,26,43,0.395,0.605,3,20,23,11,23,0.13,0.87,1.0,0.478,Regular Season
1631216,Caleb Houstan,1610612737,ATL,23.0,2,22.0,2,2,0,2,0,0,0,0,1,1,0.0,1.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
1631126,Caleb Love,1610612757,POR,24.0,39,916.0,80,37,43,52,0,4,9,5,4,9,0.556,0.444,0,4,4,3,4,0.0,1.0,1.0,0.75,Regular Season
1628997,Caleb Martin,1610612742,DAL,30.0,35,521.0,59,39,20,51,3,24,56,6,7,13,0.462,0.538,0,7,7,1,7,0.0,1.0,1.0,0.143,Regular Season
1642353,Cam Christie,1610612746,LAC,20.0,24,304.0,48,23,25,15,0,3,7,4,0,4,1.0,0.0,0,1,1,1,1,0.0,1.0,1.0,1.0,Regular Season
1642285,Cam Spencer,1610612763,MEM,25.0,45,1084.0,86,30,56,70,2,11,25,10,10,20,0.5,0.5,0,17,16,7,17,0.0,1.0,0.941,0.412,Regular Season
1630560,Cam Thomas,1610612751,BKN,24.0,21,521.0,51,30,21,20,0,1,2,2,1,3,0.667,0.333,0,2,2,1,2,0.0,1.0,1.0,0.5,Regular Season
1641715,Cam Whitmore,1610612764,WAS,21.0,21,354.0,38,26,12,24,0,1,2,10,3,13,0.769,0.231,3,4,7,5,7,0.429,0.571,1.0,0.714,Regular Season
1629661,Cameron Johnson,1610612743,DEN,29.0,28,857.0,104,52,52,52,3,17,39,7,6,13,0.538,0.462,1,15,16,6,16,0.063,0.938,1.0,0.375,Regular Season
1627747,Caris LeVert,1610612765,DET,31.0,31,612.0,89,50,39,55,0,6,14,5,12,17,0.294,0.706,0,13,13,7,13,0.0,1.0,1.0,0.538,Regular Season
1642868,Carter Bryant,1610612759,SAS,20.0,34,297.0,68,43,25,15,1,5,13,2,3,5,0.4,0.6,0,8,8,1,8,0.0,1.0,1.0,0.125,Regular Season
1641717,Cason Wallace,1610612760,OKC,22.0,47,1242.0,205,78,127,206,0,44,95,13,8,21,0.619,0.381,2,22,24,9,24,0.083,0.917,1.0,0.375,Regular Season
1642907,Cedric Coward,1610612763,MEM,22.0,44,1172.0,244,128,116,65,2,4,11,16,16,32,0.5,0.5,5,10,15,8,15,0.333,0.667,1.0,0.533,Regular Season
1629646,Charles Bassey,1610612755,PHI,25.0,2,31.0,2,2,0,2,0,1,3,1,1,2,0.5,0.5,1,1,2,2,2,0.5,0.5,1.0,1.0,Regular Season
1642404,Chaz Lanier,1610612765,DET,24.0,10,126.0,12,8,4,8,0,0,0,3,0,3,1.0,0.0,0,2,2,0,2,0.0,1.0,1.0,0.0,Regular Season
1631096,Chet Holmgren,1610612760,OKC,23.0,44,1289.0,444,340,104,56,1,57,132,10,5,15,0.667,0.333,17,48,65,49,65,0.262,0.738,1.0,0.754,Regular Season
1628449,Chris Boucher,1610612738,BOS,33.0,7,84.0,27,21,6,7,0,10,25,1,2,3,0.333,0.667,1,3,4,3,4,0.25,0.75,1.0,0.75,Regular Season
1641753,Chris Livingston,1610612739,CLE,22.0,3,17.0,2,0,2,1,0,0,0,2,0,2,1.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,Regular Season
