PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_IPM,D_IPM,IPM,POSS,SEASON,SEASON_TYPE
1628983,S. Gilgeous-Alexander,OKC,5.0,1.84,6.84,11093,2024-25,Regular Season
203999,N. Jokić,DEN,5.92,0.41,6.33,10980,2024-25,Regular Season
203507,G. Antetokounmpo,MIL,3.74,1.19,4.93,9570,2024-25,Regular Season
1629029,L. Dončić,DAL,2.9,0.99,3.89,7384,2024-25,Regular Season
1627826,I. Zubac,LAC,1.17,1.98,3.15,10789,2024-25,Regular Season
1627827,D. Finney-Smith,BKN,1.81,1.32,3.13,7425,2024-25,Regular Season
1628386,J. Allen,CLE,1.71,1.3,3.01,9739,2024-25,Regular Season
1630596,E. Mobley,CLE,1.69,1.06,2.75,9142,2024-25,Regular Season
1630532,F. Wagner,ORL,1.03,1.65,2.68,8242,2024-25,Regular Season
1641705,V. Wembanyama,SAS,0.0,2.64,2.64,6378,2024-25,Regular Season
1627783,P. Siakam,IND,0.87,1.73,2.6,10665,2024-25,Regular Season
1631128,C. Braun,DEN,2.52,0.06,2.58,11283,2024-25,Regular Season
1627936,A. Caruso,OKC,0.37,2.19,2.56,4438,2024-25,Regular Season
202695,K. Leonard,LAC,1.74,0.77,2.51,4778,2024-25,Regular Season
1628991,J. Jackson Jr.,MEM,0.35,2.11,2.46,9728,2024-25,Regular Season
1628401,D. White,BOS,1.64,0.82,2.46,10530,2024-25,Regular Season
1630198,I. Joe,OKC,1.46,0.94,2.4,6807,2024-25,Regular Season
1628436,L. Kornet,BOS,1.36,1.01,2.37,5406,2024-25,Regular Season
1628378,D. Mitchell,CLE,1.77,0.5,2.27,9456,2024-25,Regular Season
202710,J. Butler III,MIA,2.17,0.08,2.25,7136,2024-25,Regular Season
1628369,J. Tatum,BOS,1.53,0.72,2.25,10797,2024-25,Regular Season
1641708,A. Thompson,HOU,0.76,1.38,2.14,9300,2024-25,Regular Season
1629660,T. Jerome,CLE,2.18,-0.05,2.13,5896,2024-25,Regular Season
201939,S. Curry,GSW,3.37,-1.26,2.11,9532,2024-25,Regular Season
1641726,D. Lively II,DAL,0.33,1.69,2.02,3473,2024-25,Regular Season
201143,A. Horford,BOS,0.64,1.35,1.99,6768,2024-25,Regular Season
1630169,T. Haliburton,IND,3.13,-1.16,1.97,10285,2024-25,Regular Season
1626157,K. Towns,NYK,2.01,-0.04,1.97,10390,2024-25,Regular Season
1630174,A. Nesmith,IND,1.68,0.25,1.93,4729,2024-25,Regular Season
202681,K. Irving,DAL,1.9,0.03,1.93,7524,2024-25,Regular Season
1631119,J. Williams,OKC,0.74,1.18,1.92,3321,2024-25,Regular Season
203110,D. Green,GSW,0.2,1.71,1.91,8316,2024-25,Regular Season
1631165,K. Ellis,SAC,1.01,0.82,1.83,8014,2024-25,Regular Season
1630578,A. Sengun,HOU,0.45,1.37,1.82,9956,2024-25,Regular Season
1629634,B. Clarke,MEM,0.65,1.15,1.8,5313,2024-25,Regular Season
1628381,J. Collins,UTA,0.67,1.12,1.79,5151,2024-25,Regular Season
1641764,B. Podziemski,GSW,-0.4,2.18,1.78,7129,2024-25,Regular Season
1626181,N. Powell,LAC,0.81,0.96,1.77,8145,2024-25,Regular Season
1627832,F. VanVleet,HOU,0.51,1.21,1.72,8733,2024-25,Regular Season
1630559,A. Reaves,LAL,2.0,-0.3,1.7,10621,2024-25,Regular Season
1630598,A. Wiggins,OKC,1.98,-0.31,1.67,7374,2024-25,Regular Season
1627780,G. Payton II,GSW,1.09,0.55,1.64,3877,2024-25,Regular Season
1629636,D. Garland,CLE,2.74,-1.12,1.62,9759,2024-25,Regular Season
1629652,L. Dort,OKC,0.58,1.04,1.62,8812,2024-25,Regular Season
1641709,A. Thompson,DET,-0.14,1.72,1.58,5656,2024-25,Regular Season
203497,R. Gobert,MIN,-0.58,2.16,1.58,9732,2024-25,Regular Season
1630540,M. McBride,NYK,0.48,1.05,1.53,6598,2024-25,Regular Season
1630171,I. Okoro,CLE,1.04,0.45,1.49,4396,2024-25,Regular Season
203076,A. Davis,LAL,0.32,1.14,1.46,7041,2024-25,Regular Season
201144,M. Conley,MIN,0.66,0.79,1.45,7124,2024-25,Regular Season
1631106,T. Eason,HOU,0.65,0.8,1.45,6027,2024-25,Regular Season
1628366,L. Ball,CHI,0.06,1.36,1.42,3391,2024-25,Regular Season
1630202,P. Pritchard,BOS,1.54,-0.13,1.41,9116,2024-25,Regular Season
1630162,A. Edwards,MIN,1.91,-0.52,1.39,11812,2024-25,Regular Season
1631096,C. Holmgren,OKC,0.31,1.08,1.39,3788,2024-25,Regular Season
201142,K. Durant,PHX,2.0,-0.62,1.38,9367,2024-25,Regular Season
1629026,K. Williams,OKC,0.68,0.67,1.35,4720,2024-25,Regular Season
1627739,K. Dunn,LAC,-0.72,2.06,1.34,7358,2024-25,Regular Season
1631260,A. Green,MIL,-0.08,1.38,1.3,6962,2024-25,Regular Season
1627734,D. Sabonis,SAC,0.9,0.38,1.28,10148,2024-25,Regular Season
1629675,N. Reid,MIN,0.81,0.44,1.25,9081,2024-25,Regular Season
1629731,D. Wade,CLE,0.45,0.78,1.23,5262,2024-25,Regular Season
1627750,J. Murray,DEN,2.21,-1.01,1.2,10145,2024-25,Regular Season
1629048,G. Bitadze,ORL,0.06,1.13,1.19,5701,2024-25,Regular Season
1630549,D. Sharpe,BKN,0.01,1.14,1.15,3650,2024-25,Regular Season
1628449,C. Boucher,TOR,1.22,-0.07,1.15,3563,2024-25,Regular Season
1627747,C. LeVert,CLE,1.73,-0.59,1.14,6867,2024-25,Regular Season
1628392,I. Hartenstein,OKC,-0.03,1.17,1.14,6723,2024-25,Regular Season
202699,T. Harris,DET,-0.07,1.2,1.13,9718,2024-25,Regular Season
1626166,C. Payne,NYK,0.45,0.66,1.11,4536,2024-25,Regular Season
1627751,J. Poeltl,TOR,-0.01,1.1,1.09,7338,2024-25,Regular Season
1629060,R. Hachimura,LAL,0.17,0.92,1.09,7727,2024-25,Regular Season
201587,N. Batum,LAC,-0.61,1.7,1.09,5650,2024-25,Regular Season
1629655,D. Gafford,DAL,0.89,0.17,1.06,5166,2024-25,Regular Season
201935,J. Harden,LAC,0.94,0.11,1.05,11539,2024-25,Regular Season
1629630,J. Morant,MEM,0.41,0.64,1.05,6738,2024-25,Regular Season
1629627,Z. Williamson,NOP,1.42,-0.39,1.03,3660,2024-25,Regular Season
101108,C. Paul,SAS,1.18,-0.15,1.03,9571,2024-25,Regular Season
1630168,O. Okongwu,ATL,0.89,0.08,0.97,8968,2024-25,Regular Season
1630241,S. Merrill,CLE,-0.31,1.28,0.97,5916,2024-25,Regular Season
1630595,C. Cunningham,DET,0.9,0.07,0.97,10408,2024-25,Regular Season
202692,A. Burks,MIA,0.4,0.54,0.94,3499,2024-25,Regular Season
1628969,M. Bridges,NYK,1.03,-0.09,0.94,12426,2024-25,Regular Season
203932,A. Gordon,DEN,1.05,-0.17,0.88,6112,2024-25,Regular Season
1626172,K. Looney,GSW,-0.37,1.24,0.87,4772,2024-25,Regular Season
1628384,O. Anunoby,NYK,0.44,0.42,0.86,11008,2024-25,Regular Season
1629639,T. Herro,MIA,2.03,-1.18,0.85,11064,2024-25,Regular Season
1627736,M. Beasley,DET,0.82,0.01,0.83,9768,2024-25,Regular Season
1627759,J. Brown,BOS,1.42,-0.59,0.83,8916,2024-25,Regular Season
1630558,D. Mitchell,TOR,-0.07,0.87,0.8,8318,2024-25,Regular Season
1630194,P. Reed,DET,-0.39,1.17,0.78,1813,2024-25,Regular Season
1630166,D. Avdija,POR,1.13,-0.35,0.78,9024,2024-25,Regular Season
1630581,J. Giddey,CHI,0.83,-0.06,0.77,9180,2024-25,Regular Season
1629638,N. Alexander-Walker,MIN,0.3,0.44,0.74,8590,2024-25,Regular Season
1641744,Z. Edey,MEM,0.38,0.3,0.68,6153,2024-25,Regular Season
1630573,S. Hauser,BOS,1.14,-0.47,0.67,6155,2024-25,Regular Season
1631243,M. Gueye,ATL,-0.6,1.24,0.64,2267,2024-25,Regular Season
201950,J. Holiday,BOS,-0.57,1.18,0.61,7855,2024-25,Regular Season
1629006,J. Okogie,PHX,-0.45,1.05,0.6,2565,2024-25,Regular Season
1629023,P. Washington,DAL,-0.01,0.61,0.6,7759,2024-25,Regular Season
1642276,K. Ware,MIA,0.18,0.4,0.58,5779,2024-25,Regular Season
1629614,A. Nembhard,IND,-0.39,0.96,0.57,7897,2024-25,Regular Season
1627884,D. Jones Jr.,LAC,0.28,0.29,0.57,7763,2024-25,Regular Season
1630552,J. Johnson,ATL,-0.53,1.09,0.56,5674,2024-25,Regular Season
1631114,J. Williams,OKC,-0.32,0.88,0.56,9541,2024-25,Regular Season
1629661,C. Johnson,BKN,1.32,-0.76,0.56,7318,2024-25,Regular Season
1631105,J. Duren,DET,1.18,-0.63,0.55,8581,2024-25,Regular Season
1630178,T. Maxey,PHI,1.47,-0.95,0.52,8073,2024-25,Regular Season
204001,K. Porziņģis,BOS,0.03,0.49,0.52,5029,2024-25,Regular Season
1630700,D. Daniels,ATL,-0.4,0.91,0.51,11175,2024-25,Regular Season
1641739,T. Camara,POR,-0.44,0.94,0.5,10620,2024-25,Regular Season
1630529,H. Jones,NOP,-0.5,0.99,0.49,2725,2024-25,Regular Season
1630217,D. Bane,MEM,0.99,-0.51,0.48,9667,2024-25,Regular Season
203081,D. Lillard,MIL,1.25,-0.79,0.46,8812,2024-25,Regular Season
203486,M. Plumlee,PHX,0.39,0.07,0.46,5358,2024-25,Regular Season
1631157,R. Rollins,MIL,0.1,0.35,0.45,3440,2024-25,Regular Season
1629674,N. Queta,BOS,0.39,0.06,0.45,3396,2024-25,Regular Season
1626167,M. Turner,IND,-0.05,0.5,0.45,9038,2024-25,Regular Season
1629312,H. Highsmith,MIA,-0.29,0.74,0.45,7333,2024-25,Regular Season
1626156,D. Russell,LAL,-0.39,0.82,0.43,6155,2024-25,Regular Season
1628998,C. Martin,CHA,-0.77,1.2,0.43,4931,2024-25,Regular Season
201572,B. Lopez,MIL,-0.14,0.56,0.42,10620,2024-25,Regular Season
202696,N. Vučević,CHI,0.92,-0.5,0.42,9897,2024-25,Regular Season
1630188,J. Smith,CHI,-0.05,0.46,0.41,4223,2024-25,Regular Season
1628389,B. Adebayo,MIA,-0.47,0.86,0.39,10727,2024-25,Regular Season
1630611,G. Santos,GSW,0.36,0.02,0.38,3142,2024-25,Regular Season
1630256,J. Tate,HOU,-0.21,0.58,0.37,2491,2024-25,Regular Season
1630193,I. Quickley,TOR,0.6,-0.23,0.37,3841,2024-25,Regular Season
1628973,J. Brunson,NYK,2.08,-1.73,0.35,9368,2024-25,Regular Season
1630200,T. Jones,CHI,0.38,-0.04,0.34,3889,2024-25,Regular Season
1628978,D. DiVincenzo,MIN,-0.13,0.46,0.33,6702,2024-25,Regular Season
1629027,T. Young,ATL,2.04,-1.71,0.33,12007,2024-25,Regular Season
1628380,Z. Collins,CHI,-0.58,0.91,0.33,4162,2024-25,Regular Season
1630590,S. Pippen Jr.,MEM,-0.88,1.21,0.33,7395,2024-25,Regular Season
1628976,W. Carter Jr.,ORL,-1.08,1.4,0.32,7107,2024-25,Regular Season
1628989,K. Huerter,SAC,0.09,0.2,0.29,7151,2024-25,Regular Season
1641717,C. Wallace,OKC,-0.52,0.78,0.26,7961,2024-25,Regular Season
1631095,J. Smith Jr.,HOU,-0.87,1.13,0.26,7182,2024-25,Regular Season
1629723,J. Konchar,MEM,-0.62,0.87,0.25,2448,2024-25,Regular Season
1630643,J. Huff,MEM,0.15,0.09,0.24,3286,2024-25,Regular Season
1629162,J. McLaughlin,SAC,0.36,-0.13,0.23,1280,2024-25,Regular Season
203084,H. Barnes,SAS,1.17,-0.95,0.22,9284,2024-25,Regular Season
1629684,G. Williams,CHA,0.09,0.12,0.21,1998,2024-25,Regular Season
1630314,B. Williams,DAL,-0.05,0.25,0.2,2098,2024-25,Regular Season
1627824,G. Yabusele,PHI,1.01,-0.81,0.2,7676,2024-25,Regular Season
203484,K. Caldwell-Pope,ORL,-0.84,1.04,0.2,9180,2024-25,Regular Season
1630205,L. Stevens,MEM,-0.04,0.24,0.2,654,2024-25,Regular Season
1630583,S. Aldama,MEM,0.52,-0.33,0.19,7331,2024-25,Regular Season
1626158,R. Holmes,WAS,0.3,-0.17,0.13,2224,2024-25,Regular Season
1631204,M. Sasser,DET,0.19,-0.06,0.13,3406,2024-25,Regular Season
1641763,J. Phillips,CHI,0.11,0.01,0.12,4812,2024-25,Regular Season
203482,K. Olynyk,TOR,0.05,0.06,0.11,3697,2024-25,Regular Season
1631197,J. Rhoden,TOR,0.1,0.01,0.11,974,2024-25,Regular Season
1629631,D. Hunter,ATL,0.94,-0.84,0.1,7597,2024-25,Regular Season
1641740,J. Clark,MIN,0.14,-0.04,0.1,2186,2024-25,Regular Season
1629057,R. Williams III,POR,-0.78,0.88,0.1,1465,2024-25,Regular Season
1630696,D. Smith,MIA,-0.85,0.94,0.09,1111,2024-25,Regular Season
1629637,J. Hayes,LAL,-1.11,1.19,0.08,4550,2024-25,Regular Season
1630572,S. Mamukelashvili,SAS,0.69,-0.61,0.08,2831,2024-25,Regular Season
1629680,M. Thybulle,POR,-1.03,1.1,0.07,1333,2024-25,Regular Season
1628371,J. Isaac,ORL,-1.05,1.12,0.07,4443,2024-25,Regular Season
1641796,P. Larsson,MIA,-0.11,0.17,0.06,3159,2024-25,Regular Season
201942,D. DeRozan,SAC,1.14,-1.09,0.05,11465,2024-25,Regular Season
1630539,K. Jones,LAC,-0.18,0.23,0.05,1909,2024-25,Regular Season
1631221,C. Gillespie,PHX,0.79,-0.74,0.05,1858,2024-25,Regular Season
