GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,PLUS_MINUS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PTS,OFF_RATING,DEF_RATING,NET_RATING,PACE,POSS,EFG_PCT,TS_PCT,AST_RATIO,AST_PCT,AST_TO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,PIE,SEASON_TYPE,team,team_id,players_list
Lineups,-201959-203952-1626157-,T. Gibson - A. Wiggins - K. Towns,82,47,35,0.573,2037.375,293.0,1781.0,3660.0,0.487,326.0,894.0,0.365,803.0,1018.0,0.789,465.0,1402.0,1867.0,993.0,515.0,363.0,199.0,4691.0,113.7,106.5,7.3,97.25,4125,0.531,0.571,17.4,0.558,1.93,0.303,0.734,0.52,0.125,0.551,Regular Season,MIN,1610612750,"[""T. Gibson"", ""A. Wiggins"", ""K. Towns""]"
Lineups,-2546-201566-202331-,C. Anthony - R. Westbrook - P. George,75,45,30,0.6,1975.525,268.0,1746.0,3714.0,0.47,424.0,1176.0,0.361,722.0,1011.0,0.714,579.0,1346.0,1925.0,952.0,595.0,390.0,183.0,4638.0,112.7,106.5,6.2,99.87,4117,0.527,0.558,16.5,0.545,1.6,0.345,0.743,0.535,0.145,0.522,Regular Season,OKC,1610612760,"[""C. Anthony"", ""R. Westbrook"", ""P. George""]"
Lineups,-2546-201566-203500-,C. Anthony - R. Westbrook - S. Adams,73,42,31,0.575,1948.826667,251.0,1723.0,3699.0,0.466,406.0,1147.0,0.354,672.0,950.0,0.707,610.0,1339.0,1949.0,924.0,595.0,365.0,169.0,4524.0,112.2,106.2,6.0,99.22,4032,0.521,0.549,16.2,0.536,1.55,0.363,0.745,0.544,0.148,0.52,Regular Season,OKC,1610612760,"[""C. Anthony"", ""R. Westbrook"", ""S. Adams""]"
Lineups,-201952-201959-203952-,J. Teague - T. Gibson - A. Wiggins,70,41,29,0.586,1929.755,105.0,1686.0,3475.0,0.485,296.0,815.0,0.363,760.0,967.0,0.786,419.0,1289.0,1708.0,911.0,494.0,340.0,180.0,4428.0,112.4,109.6,2.7,98.04,3940,0.528,0.568,16.9,0.54,1.84,0.291,0.726,0.509,0.125,0.526,Regular Season,MIN,1610612750,"[""J. Teague"", ""T. Gibson"", ""A. Wiggins""]"
Lineups,-201566-202331-203500-,R. Westbrook - P. George - S. Adams,71,41,30,0.577,1893.701667,292.0,1673.0,3554.0,0.471,415.0,1143.0,0.363,672.0,933.0,0.72,549.0,1315.0,1864.0,927.0,596.0,384.0,173.0,4433.0,112.1,105.1,7.0,100.06,3955,0.529,0.559,16.7,0.554,1.56,0.346,0.746,0.538,0.151,0.53,Regular Season,OKC,1610612760,"[""R. Westbrook"", ""P. George"", ""S. Adams""]"
Lineups,-201952-203952-1626157-,J. Teague - A. Wiggins - K. Towns,70,41,29,0.586,1811.173333,221.0,1592.0,3281.0,0.485,302.0,808.0,0.374,727.0,918.0,0.792,413.0,1240.0,1653.0,877.0,479.0,317.0,166.0,4213.0,113.8,107.8,6.0,98.15,3703,0.531,0.572,17.2,0.551,1.83,0.305,0.732,0.52,0.129,0.541,Regular Season,MIN,1610612750,"[""J. Teague"", ""A. Wiggins"", ""K. Towns""]"
Lineups,-200768-201586-201942-,K. Lowry - S. Ibaka - D. DeRozan,71,50,21,0.704,1788.541667,280.0,1546.0,3239.0,0.477,431.0,1180.0,0.365,715.0,881.0,0.812,359.0,1337.0,1696.0,913.0,498.0,245.0,203.0,4238.0,113.6,106.2,7.4,100.1,3732,0.544,0.584,17.9,0.591,1.83,0.263,0.747,0.512,0.133,0.541,Regular Season,TOR,1610612761,"[""K. Lowry"", ""S. Ibaka"", ""D. DeRozan""]"
Lineups,-201952-201959-1626157-,J. Teague - T. Gibson - K. Towns,70,41,29,0.586,1764.67,211.0,1545.0,3163.0,0.488,288.0,769.0,0.375,705.0,886.0,0.796,386.0,1208.0,1594.0,854.0,458.0,302.0,166.0,4083.0,113.8,107.5,6.3,97.8,3588,0.534,0.575,17.3,0.553,1.86,0.296,0.726,0.514,0.128,0.544,Regular Season,MIN,1610612750,"[""J. Teague"", ""T. Gibson"", ""K. Towns""]"
Lineups,-2730-101107-202689-,D. Howard - M. Williams - K. Walker,75,32,43,0.427,1732.46,45.0,1434.0,3077.0,0.466,338.0,907.0,0.373,728.0,1028.0,0.708,386.0,1334.0,1720.0,780.0,501.0,239.0,199.0,3934.0,108.5,107.4,1.1,100.41,3627,0.521,0.557,16.0,0.544,1.56,0.265,0.761,0.515,0.138,0.513,Regular Season,CHA,1610612766,"[""D. Howard"", ""M. Williams"", ""K. Walker""]"
Lineups,-201950-202734-203076-,J. Holiday - E. Moore - A. Davis,74,44,30,0.595,1712.566667,249.0,1554.0,3175.0,0.489,326.0,907.0,0.359,559.0,691.0,0.809,302.0,1296.0,1598.0,976.0,515.0,315.0,245.0,3993.0,108.2,101.7,6.5,103.27,3689,0.541,0.574,19.3,0.628,1.9,0.232,0.728,0.496,0.14,0.562,Regular Season,NOP,1610612740,"[""J. Holiday"", ""E. Moore"", ""A. Davis""]"
Lineups,-2546-202331-203500-,C. Anthony - P. George - S. Adams,70,41,29,0.586,1694.265,246.0,1503.0,3204.0,0.469,361.0,1011.0,0.357,597.0,833.0,0.717,517.0,1162.0,1679.0,824.0,528.0,335.0,149.0,3964.0,112.2,105.8,6.4,99.82,3533,0.525,0.555,16.5,0.548,1.56,0.356,0.748,0.542,0.149,0.525,Regular Season,OKC,1610612760,"[""C. Anthony"", ""P. George"", ""S. Adams""]"
Lineups,-101162-203078-203490-,M. Gortat - B. Beal - O. Porter Jr.,77,42,35,0.545,1667.806667,202.0,1434.0,2979.0,0.481,356.0,873.0,0.408,481.0,606.0,0.794,328.0,1176.0,1504.0,915.0,481.0,279.0,154.0,3705.0,109.5,104.1,5.4,97.12,3383,0.541,0.571,19.4,0.638,1.9,0.262,0.748,0.511,0.142,0.538,Regular Season,WAS,1610612764,"[""M. Gortat"", ""B. Beal"", ""O. Porter Jr.""]"
Lineups,-201959-202710-203952-,T. Gibson - J. Butler - A. Wiggins,59,37,22,0.627,1625.06,304.0,1412.0,2896.0,0.488,253.0,696.0,0.364,643.0,813.0,0.791,366.0,1100.0,1466.0,791.0,403.0,327.0,162.0,3720.0,113.9,104.7,9.2,96.41,3265,0.531,0.572,17.5,0.56,1.96,0.305,0.731,0.52,0.123,0.568,Regular Season,MIN,1610612750,"[""T. Gibson"", ""J. Butler"", ""A. Wiggins""]"
Lineups,-201152-202711-203506-,T. Young - B. Bogdanovic - V. Oladipo,74,47,27,0.635,1619.895,219.0,1387.0,2853.0,0.486,343.0,857.0,0.4,497.0,632.0,0.786,276.0,1113.0,1389.0,774.0,463.0,334.0,154.0,3614.0,108.7,102.5,6.2,98.35,3325,0.546,0.577,17.4,0.558,1.67,0.231,0.717,0.482,0.139,0.535,Regular Season,IND,1610612754,"[""T. Young"", ""B. Bogdanovic"", ""V. Oladipo""]"
Lineups,-2730-201587-202689-,D. Howard - N. Batum - K. Walker,62,27,35,0.435,1608.936667,39.0,1350.0,2897.0,0.466,341.0,903.0,0.378,652.0,898.0,0.726,332.0,1196.0,1528.0,764.0,445.0,227.0,183.0,3693.0,109.9,109.4,0.5,99.97,3361,0.525,0.561,16.8,0.566,1.72,0.261,0.76,0.509,0.132,0.508,Regular Season,CHA,1610612766,"[""D. Howard"", ""N. Batum"", ""K. Walker""]"
