OFF_PLAYER_ID,OFF_PLAYER_NAME,DEF_PLAYER_ID,DEF_PLAYER_NAME,GP,MATCHUP_MIN,PARTIAL_POSS,PLAYER_PTS,MATCHUP_FGM,MATCHUP_FGA,MATCHUP_FG3M,MATCHUP_FG3A,MATCHUP_TOV,SFL,SEASON_TYPE
203076,Anthony Davis,1627734,Domantas Sabonis,4,41.0,195.2,53,17,38,1,2,7,10,Regular Season
203497,Rudy Gobert,1627734,Domantas Sabonis,4,39.9,186.6,21,9,11,0,0,2,2,Regular Season
1628973,Jalen Brunson,1630700,Dyson Daniels,4,38.0,184.6,52,19,38,4,13,5,6,Regular Season
1630700,Dyson Daniels,1628973,Jalen Brunson,4,33.7,180.5,17,8,23,1,6,3,0,Regular Season
1631105,Jalen Duren,202696,Nikola Vučević,4,34.3,177.7,30,11,18,0,0,2,5,Regular Season
1628389,Bam Adebayo,1626167,Myles Turner,4,37.0,175.1,48,20,41,4,8,2,3,Regular Season
1629027,Trae Young,1628969,Mikal Bridges,5,30.4,172.8,43,14,47,7,20,8,4,Regular Season
201572,Brook Lopez,202696,Nikola Vučević,4,37.8,172.7,30,11,27,2,13,1,4,Regular Season
1630595,Cade Cunningham,1630700,Dyson Daniels,4,31.7,171.7,56,22,40,5,9,9,3,Regular Season
1629060,Rui Hachimura,201942,DeMar DeRozan,4,34.0,163.9,18,6,12,3,4,3,2,Regular Season
1627734,Domantas Sabonis,203497,Rudy Gobert,4,33.2,162.5,45,18,36,3,9,7,4,Regular Season
1629027,Trae Young,1641731,Bilal Coulibaly,4,28.1,161.9,16,5,28,2,17,10,0,Regular Season
202696,Nikola Vučević,201572,Brook Lopez,4,28.0,161.3,44,19,43,6,20,4,0,Regular Season
1628389,Bam Adebayo,1631105,Jalen Duren,4,34.5,160.5,37,15,29,1,4,3,6,Regular Season
1627734,Domantas Sabonis,203076,Anthony Davis,4,29.5,156.7,31,13,33,2,5,1,2,Regular Season
203991,Clint Capela,202696,Nikola Vučević,4,27.5,156.2,35,16,29,0,0,1,2,Regular Season
1627826,Ivica Zubac,1627734,Domantas Sabonis,3,34.0,156.0,29,14,21,0,0,3,0,Regular Season
1629651,Nic Claxton,1626167,Myles Turner,4,35.7,155.7,23,11,21,0,1,7,1,Regular Season
1631105,Jalen Duren,1627751,Jakob Poeltl,4,29.1,154.8,30,12,18,0,0,3,2,Regular Season
1629027,Trae Young,1630558,Davion Mitchell,5,27.6,154.7,31,12,28,3,10,9,4,Regular Season
201939,Stephen Curry,1630183,Jaden McDaniels,4,31.3,154.0,32,9,34,5,20,2,2,Regular Season
1630168,Onyeka Okongwu,1626157,Karl-Anthony Towns,5,28.5,153.0,26,13,18,0,2,3,2,Regular Season
202696,Nikola Vučević,1631105,Jalen Duren,4,29.2,152.9,47,20,35,7,14,5,0,Regular Season
1631105,Jalen Duren,1626167,Myles Turner,4,28.9,152.4,20,7,10,0,0,4,4,Regular Season
1627734,Domantas Sabonis,203999,Nikola Jokić,3,28.8,151.5,38,18,30,1,3,2,1,Regular Season
1642259,Alex Sarr,202696,Nikola Vučević,4,27.4,149.1,25,10,30,3,10,4,2,Regular Season
1629028,Deandre Ayton,1627734,Domantas Sabonis,3,31.0,148.8,36,17,32,0,1,3,1,Regular Season
203999,Nikola Jokić,1627734,Domantas Sabonis,3,26.2,147.8,30,12,31,1,6,5,2,Regular Season
1627751,Jakob Poeltl,1631105,Jalen Duren,4,28.5,147.8,28,14,27,0,0,3,0,Regular Season
201142,Kevin Durant,203924,Jerami Grant,4,30.7,147.4,16,8,18,0,3,1,0,Regular Season
1627734,Domantas Sabonis,1627826,Ivica Zubac,3,29.3,143.2,36,14,27,0,3,6,4,Regular Season
1631117,Walker Kessler,203999,Nikola Jokić,3,30.7,142.6,24,12,14,0,0,4,0,Regular Season
1642259,Alex Sarr,1626157,Karl-Anthony Towns,4,26.9,142.2,23,8,21,3,8,6,2,Regular Season
1628386,Jarrett Allen,201572,Brook Lopez,4,26.3,141.5,18,9,18,0,0,3,0,Regular Season
1630558,Davion Mitchell,1629027,Trae Young,5,30.4,141.5,18,7,15,4,9,4,0,Regular Season
203081,Damian Lillard,1630700,Dyson Daniels,4,29.6,141.5,30,10,24,9,20,4,1,Regular Season
204001,Kristaps Porziņģis,202696,Nikola Vučević,4,25.8,138.3,39,15,28,7,15,1,1,Regular Season
1628389,Bam Adebayo,1627751,Jakob Poeltl,3,27.8,137.8,35,14,35,3,8,6,3,Regular Season
1631105,Jalen Duren,1628389,Bam Adebayo,4,25.6,137.7,15,7,11,0,0,1,1,Regular Season
1630183,Jaden McDaniels,201939,Stephen Curry,4,28.7,137.6,15,6,14,2,6,0,1,Regular Season
1627826,Ivica Zubac,203999,Nikola Jokić,3,30.1,136.0,10,4,16,0,0,3,2,Regular Season
201572,Brook Lopez,1626167,Myles Turner,4,27.9,135.6,29,13,18,1,5,5,1,Regular Season
1631117,Walker Kessler,1627734,Domantas Sabonis,3,26.4,135.6,19,9,10,0,0,3,1,Regular Season
1630162,Anthony Edwards,1629652,Luguentz Dort,4,29.5,134.5,19,6,16,3,11,5,2,Regular Season
202696,Nikola Vučević,203991,Clint Capela,4,23.5,134.5,23,9,19,3,6,2,1,Regular Season
1627734,Domantas Sabonis,1629028,Deandre Ayton,3,26.0,134.5,27,11,16,2,4,5,2,Regular Season
1626157,Karl-Anthony Towns,202696,Nikola Vučević,3,26.0,133.8,66,25,45,8,16,2,8,Regular Season
203497,Rudy Gobert,203999,Nikola Jokić,4,29.6,133.8,21,8,15,0,0,1,4,Regular Season
203897,Zach LaVine,1630700,Dyson Daniels,4,25.3,133.8,32,13,21,6,8,10,0,Regular Season
1626167,Myles Turner,1629651,Nic Claxton,4,23.6,133.6,27,10,13,4,6,3,1,Regular Season
202696,Nikola Vučević,1642259,Alex Sarr,4,24.0,132.9,39,17,37,4,12,0,2,Regular Season
203999,Nikola Jokić,203497,Rudy Gobert,4,26.5,132.2,61,23,41,7,13,5,6,Regular Season
