GROUP_SET,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,VS_PLAYER_ID,VS_PLAYER_NAME,COURT_STATUS,GP,MIN,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,team,SEASON_TYPE
On/Off Court,1610612737,ATL,Atlanta Hawks,203992,"Bogdanović, Bogdan",On,44,1305.0,4.0,114.9,111.0,3.9,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203991,"Capela, Clint",On,63,1898.0,6.3,114.8,108.2,6.6,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628381,"Collins, John",On,63,1848.0,4.7,116.0,111.7,4.3,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1627739,"Dunn, Kris",On,4,45.0,-32.8,86.3,117.7,-31.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628981,"Fernando, Bruno",On,33,226.0,-4.7,98.8,104.7,-6.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,201568,"Gallinari, Danilo",On,51,1222.0,3.6,113.0,110.3,2.7,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629164,"Goodwin, Brandon",On,47,620.0,-4.7,104.7,109.1,-4.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203524,"Hill, Solomon",On,71,1514.0,0.8,111.6,110.6,1.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1628989,"Huerter, Kevin",On,69,2126.0,1.6,113.2,111.6,1.7,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629631,"Hunter, De'Andre",On,23,678.0,5.9,111.3,105.9,5.5,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630233,"Knight, Nathan",On,33,279.0,-2.9,102.6,106.9,-4.3,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630219,"Mays, Skylar",On,33,269.0,2.3,107.0,105.6,1.4,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1630168,"Okongwu, Onyeka",On,50,601.0,-7.1,106.2,112.6,-6.3,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,1629629,"Reddish, Cam",On,26,750.0,-3.1,110.9,114.9,-4.0,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,200765,"Rondo, Rajon",On,27,402.0,-5.9,101.7,107.9,-6.2,Atlanta Hawks,Regular Season
On/Off Court,1610612737,ATL,Atlanta Hawks,203503,"Snell, Tony",On,47,992.0,3.1,113.8,111.6,2.2,Atlanta Hawks,Regular Season
