GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_PG_RANK,FGA_PG_RANK,SEASON_TYPE
Players,2544,LeBron James,LeBron,1610612747,LAL,38.0,29,16,13,0.552,131.11333333333334,41,89,0.461,9,34,0.265,23,29,0.793,4,18,22,24,6,1,2,5,10,23,114,-7,179.4,11,1,175.0,105,80,313,149,50,8,11,181,20,12,184,36,35,145,88,46,58,7,62,145,77,421,340,22,13,293,16,30,9,17,1,114.7,112.1,112.1,118.9,116.4,116.4,-4.1,-4.3,-4.3,0.348,4.0,18.3,0.027,0.145,0.08,4.6,4.6,0.511,0.56,0.342,0.361,96.71,98.85,82.37,98.85,0.187,272,1.4,3.1,162,149,149,306,324,324,252,256,256,25,18,126,215,147,207,197,196,187,200,22,20,272,305,305,51,8,5,Regular Season
Players,2738,Andre Iguodala,Andre,1610612744,GSW,39.0,1,0,1,0.0,0.935,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-4,0.0,0,0,0.0,425,418,18,418,429,361,396,361,257,325,257,295,305,295,288,373,388,297,281,250,204,1,77,329,382,260,413,205,27,413,1,0.0,0.0,0.0,212.8,200.0,200.0,-212.8,-200.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.93,77.01,64.17,77.01,-0.333,1,0.0,0.0,433,434,434,449,449,449,449,450,450,297,240,297,288,373,388,1,1,361,382,406,407,440,448,448,443,361,396,Regular Season
Players,101108,Chris Paul,Chris,1610612756,PHX,38.0,25,11,14,0.44,97.815,16,38,0.421,5,14,0.357,11,17,0.647,2,11,13,20,3,4,0,1,9,13,48,-21,102.6,10,0,94.0,145,158,331,285,111,77,71,224,70,80,123,87,75,211,148,99,116,13,116,35,204,243,319,73,81,384,66,32,27,75,1,102.4,101.0,101.0,116.8,111.4,111.4,-14.4,-10.4,-10.4,0.385,6.67,28.6,0.019,0.121,0.065,4.3,4.4,0.487,0.528,0.21,0.215,95.69,98.64,82.2,98.64,0.145,201,0.6,1.5,314,282,282,289,275,275,324,309,309,18,5,46,248,194,253,192,193,231,249,105,111,306,311,311,92,71,66,Regular Season
Players,200752,Rudy Gay,Rudy,1610612762,UTA,36.0,3,2,1,0.667,1.3883333333333334,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,0,0,2.0,368,326,18,53,421,361,356,361,257,325,257,295,305,295,288,373,388,297,281,250,123,1,1,329,382,195,383,205,27,392,1,82.0,80.0,80.0,104.2,100.0,100.0,-22.2,-20.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.205,134.15,138.3,115.25,138.3,-0.1,5,0.0,0.3,393,386,386,141,128,128,359,362,362,297,240,297,288,373,388,1,1,361,382,158,121,15,31,31,429,361,327,Regular Season
Players,200768,Kyle Lowry,Kyle,1610612748,MIA,37.0,32,17,15,0.531,124.72666666666667,16,34,0.471,5,15,0.333,5,5,1.0,4,9,13,17,7,2,2,3,16,9,42,13,88.1,1,1,85.0,79,61,344,171,60,77,86,172,70,74,131,151,183,1,88,126,116,22,41,90,77,382,408,103,92,90,93,148,9,91,1,114.7,116.1,116.1,106.1,108.9,108.9,8.6,7.2,7.2,0.213,2.43,28.3,0.032,0.073,0.052,11.7,11.6,0.544,0.58,0.15,0.158,95.73,93.9,78.25,93.9,0.079,242,0.5,1.1,163,108,108,156,240,240,142,144,144,78,54,51,201,305,305,338,336,155,182,191,195,303,406,406,230,108,113,Regular Season
Players,200782,P.J. Tucker,P.J.,1610612755,PHI,38.0,28,16,12,0.571,95.65,5,9,0.556,4,7,0.571,3,5,0.6,4,15,19,3,3,1,1,1,10,6,17,14,47.3,0,0,47.0,118,80,300,134,117,190,212,95,85,146,35,186,183,223,88,65,75,155,116,145,123,243,340,136,183,83,167,205,27,158,1,106.0,100.0,100.0,91.9,89.9,89.9,14.1,10.1,10.1,0.06,1.0,17.6,0.043,0.126,0.09,17.6,17.4,0.778,0.759,0.064,0.071,94.52,98.36,81.97,98.36,0.076,193,0.2,0.3,271,286,286,66,75,75,111,121,121,239,158,128,167,182,169,394,392,55,62,382,377,337,319,319,235,297,340,Regular Season
Players,201142,Kevin Durant,Kevin,1610612756,PHX,34.0,21,18,3,0.857,70.25333333333333,19,41,0.463,7,16,0.438,16,20,0.8,0,11,11,6,4,1,6,1,9,13,61,59,100.2,2,0,99.0,177,53,115,20,152,64,65,175,39,67,85,60,60,132,288,99,133,98,93,145,9,243,319,73,58,9,69,108,27,67,2,131.1,127.2,127.2,100.1,97.7,97.7,31.0,29.5,29.5,0.15,1.5,9.8,0.0,0.153,0.076,6.6,6.7,0.549,0.612,0.322,0.333,92.43,94.97,79.14,94.97,0.183,147,0.9,2.0,49,45,45,106,119,119,46,44,44,114,112,241,288,133,224,234,237,153,147,32,35,376,391,391,56,35,39,Regular Season
Players,201143,Al Horford,Al,1610612738,BOS,37.0,27,18,9,0.667,117.24333333333334,8,25,0.32,8,23,0.348,0,0,0.0,3,12,15,6,1,2,6,0,10,0,24,16,74.0,5,0,69.0,131,53,258,53,74,147,113,315,28,35,130,295,305,295,114,87,102,98,199,90,9,1,340,329,148,79,113,62,27,115,1,112.6,110.2,110.2,113.3,106.8,106.8,-0.7,3.5,3.5,0.08,6.0,18.8,0.023,0.106,0.062,3.1,3.1,0.48,0.48,0.092,0.097,94.58,98.46,82.05,98.46,0.052,244,0.3,0.9,192,164,164,248,213,213,217,179,179,213,7,121,224,224,264,174,174,236,296,331,335,336,316,316,291,216,148,Regular Season
Players,201144,Mike Conley,Mike,1610612750,MIN,35.0,44,22,22,0.5,169.86833333333334,12,35,0.343,7,20,0.35,28,35,0.8,9,15,24,26,4,5,1,3,12,24,59,24,140.8,4,0,128.0,5,16,432,188,5,102,82,283,39,49,129,21,19,132,25,65,47,6,93,20,123,382,373,19,62,56,36,76,27,42,2,113.0,112.5,112.5,106.1,104.6,104.6,6.9,7.9,7.9,0.245,6.5,31.7,0.052,0.084,0.068,4.9,5.0,0.443,0.585,0.139,0.14,96.96,97.91,81.59,97.91,0.115,345,0.3,0.8,188,144,144,155,188,188,152,138,138,68,6,38,147,280,243,201,202,265,174,218,236,264,330,330,145,224,175,Regular Season
Players,201145,Jeff Green,Jeff,1610612743,DEN,36.0,6,2,4,0.333,6.878333333333333,1,3,0.333,0,2,0.0,2,2,1.0,0,1,1,0,1,0,0,1,1,1,4,-12,4.2,0,0,5.0,322,326,136,360,361,295,302,286,257,236,257,220,235,1,288,319,342,297,199,250,204,243,77,266,302,337,366,205,27,348,1,72.7,62.5,62.5,137.8,129.4,129.4,-65.2,-66.9,-66.9,0.0,0.0,0.0,0.0,0.143,0.077,20.0,20.5,0.333,0.515,0.313,0.355,103.7,115.14,95.95,115.14,0.047,16,0.2,0.5,405,415,415,412,411,411,421,429,429,297,240,297,288,148,219,407,414,323,259,37,24,103,79,79,302,301,261,Regular Season
Players,201152,Thaddeus Young,Thaddeus,1610612761,TOR,35.0,13,7,6,0.538,41.53,4,6,0.667,0,1,0.0,2,2,1.0,6,5,11,3,1,1,0,0,5,1,10,22,29.7,0,0,26.0,237,223,191,163,209,207,245,53,257,275,257,220,235,1,56,198,133,155,199,145,204,1,239,266,230,60,208,205,27,215,1,120.6,116.3,116.3,107.2,104.9,104.9,13.4,11.4,11.4,0.1,3.0,27.3,0.14,0.135,0.138,9.1,9.2,0.667,0.727,0.074,0.077,97.11,99.98,83.31,99.98,0.092,92,0.3,0.5,107,106,106,168,192,192,114,115,115,181,33,54,32,168,66,287,289,83,79,366,368,256,271,271,199,208,289,Regular Season
Players,201565,Derrick Rose,Derrick,1610612752,NYK,34.0,1,0,1,0.0,0.075,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0.0,425,418,18,418,443,361,396,361,257,325,257,295,305,295,288,373,388,297,281,250,204,1,1,329,382,173,413,205,27,413,1,170.5,150.0,150.0,0.0,0.0,0.0,170.5,150.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.2,640.0,533.33,640.0,0.0,2,0.0,0.0,5,8,8,1,1,1,2,4,4,297,240,297,288,373,388,1,1,361,382,406,407,2,7,7,367,361,396,Regular Season
Players,201566,Russell Westbrook,Russell,1610612746,LAC,34.0,32,12,20,0.375,126.21166666666667,22,57,0.386,4,12,0.333,14,24,0.583,9,15,24,22,6,6,2,4,19,16,62,-7,141.8,12,2,128.0,79,145,415,339,57,45,38,252,85,95,131,71,46,232,25,65,47,10,62,11,77,406,432,54,56,293,35,29,5,42,2,117.4,113.6,113.6,120.3,117.2,117.2,-2.9,-3.5,-3.5,0.262,3.67,23.7,0.069,0.127,0.097,6.5,6.3,0.421,0.459,0.237,0.259,97.1,100.02,83.35,100.02,0.087,264,0.7,1.8,134,128,128,322,332,332,243,250,250,52,31,81,100,181,144,229,228,278,312,82,75,258,269,269,210,61,50,Regular Season
Players,201567,Kevin Love,Kevin,1610612748,MIA,34.0,17,7,10,0.412,21.541666666666668,0,4,0.0,0,3,0.0,1,2,0.5,1,9,10,0,4,0,0,0,2,2,1,22,9.0,2,0,11.0,203,223,268,310,277,361,279,361,257,208,257,250,235,245,205,126,149,297,93,250,204,1,132,232,377,60,318,108,27,290,2,112.5,108.8,108.8,98.3,85.1,85.1,14.2,23.7,23.7,0.0,0.0,0.0,0.034,0.321,0.175,44.4,45.0,0.0,0.102,0.127,0.136,106.73,115.87,96.56,115.87,-0.008,57,0.0,0.2,197,188,188,93,54,54,109,55,55,297,240,297,196,10,22,446,446,361,381,246,244,76,75,75,406,361,362,Regular Season
Players,201569,Eric Gordon,Eric,1610612746,LAC,34.0,33,13,20,0.394,82.63,7,18,0.389,3,8,0.375,6,7,0.857,2,3,5,9,4,2,1,2,5,5,23,-15,47.5,0,0,46.0,74,129,415,328,134,156,148,249,104,124,111,131,155,102,148,247,233,62,93,90,123,340,239,148,153,356,166,205,27,162,2,105.9,103.9,103.9,111.9,109.1,109.1,-6.0,-5.3,-5.3,0.18,2.25,26.5,0.022,0.034,0.028,11.8,11.7,0.472,0.546,0.121,0.129,104.25,106.6,88.83,106.6,0.061,181,0.2,0.5,275,247,247,232,246,246,264,267,267,98,62,58,228,365,372,340,340,245,212,264,262,99,133,133,273,275,249,Regular Season
