PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,SEASON_TYPE,GP,MIN,W_PCT,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,PF,FG_PCT,FG3_PCT,FT_PCT,EFG_PCT,TS_PCT,USG_PCT,AST_PCT,AST_TO,AST_RATIO,TM_TOV_PCT,OREB_PCT,DREB_PCT,REB_PCT,OFF_RATING,DEF_RATING,NET_RATING,PACE,PIE,PLUS_MINUS,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_USG_PCT,ON_NET_RATING,OFF_NET_RATING,NET_SWING,CLUTCH_NET_RATING,CLUTCH_MIN,OBPM,DBPM,BPM,VORP,XEFG,SHOTMAKING_OVER_XEFG,XEFG_FGA,BOX_CREATION,OFFENSIVE_LOAD,O_RAPM,D_RAPM,RAPM,RAPM_POSS,O_IPM,D_IPM,IPM,IPM_POSS,WPA
1629029,Luka Dončić,1610612747,LAL,26.0,Playoffs,5,41.6,0.2,30.2,7.0,0.4,6.6,5.8,1.0,0.6,4.0,3.2,0.452,0.348,0.891,0.529,0.608,0.321,0.269,1.45,16.7,11.5,0.01,0.145,0.083,111.7,117.4,-5.7,92.71,0.157,-4.8,110.6,113.4,-2.8,0.326,-5.7,-17.5,11.8,-87.6,10.5,3.74,-1.1,2.65,0.25,0.5092,0.0247,103.0,9.7,48.3,,,,,,,,,
1630595,Cade Cunningham,1610612765,DET,23.0,Playoffs,6,41.3,0.333,25.0,8.3,1.0,7.3,8.7,1.8,1.3,5.3,3.3,0.426,0.179,0.833,0.446,0.509,0.304,0.371,1.63,22.4,13.8,0.024,0.17,0.099,109.1,107.6,1.5,99.68,0.145,1.5,106.1,106.3,-0.2,0.307,1.5,-9.1,10.6,-2.9,21.585,0.84,0.76,1.6,0.23,0.5188,-0.0731,129.0,7.4,47.7,,,,,,,,,
1627750,Jamal Murray,1610612743,DEN,28.0,Playoffs,14,41.3,0.5,21.8,4.9,0.6,4.2,5.2,1.2,0.8,3.1,2.2,0.444,0.354,0.875,0.512,0.555,0.233,0.198,1.66,18.7,11.3,0.015,0.097,0.057,113.6,112.0,1.6,96.09,0.104,2.1,111.5,111.9,-0.4,0.24,1.6,-40.4,42.0,1.6,35.035,0.54,-1.36,-0.83,0.17,0.5067,0.0094,248.0,5.9,36.3,,,,,,,,,
2544,LeBron James,1610612747,LAL,40.0,Playoffs,5,40.7,0.2,25.4,9.0,2.4,6.6,5.6,2.0,1.8,2.6,1.6,0.489,0.357,0.775,0.545,0.601,0.262,0.275,2.15,19.4,9.0,0.063,0.156,0.112,108.7,119.3,-10.5,91.66,0.185,-8.2,108.1,116.1,-8.0,0.275,-10.5,11.3,-21.8,-87.6,10.5,5.86,1.21,7.08,0.47,0.5361,0.0093,88.0,8.2,41.7,,,,,,,,,
1628369,Jayson Tatum,1610612738,BOS,27.0,Playoffs,8,40.2,0.5,28.1,11.5,1.1,10.4,5.4,2.1,0.8,3.3,2.6,0.423,0.372,0.889,0.506,0.566,0.312,0.251,1.65,16.2,9.8,0.029,0.233,0.137,114.2,101.8,12.4,92.52,0.202,9.6,110.9,99.4,11.5,0.318,12.4,-3.4,15.8,-36.5,20.616666666666667,5.32,2.36,7.68,0.78,0.5173,-0.0116,175.0,9.3,48.2,,,,,,,,,
203999,Nikola Jokić,1610612743,DEN,30.0,Playoffs,14,40.2,0.5,26.2,12.7,2.1,10.6,8.0,2.0,0.9,3.9,3.4,0.489,0.38,0.772,0.539,0.587,0.278,0.348,2.04,23.3,11.4,0.049,0.25,0.15,111.3,112.8,-1.5,96.48,0.18,-0.8,108.8,112.0,-3.2,0.282,-1.5,-22.2,20.7,1.7,35.071666666666665,5.02,2.06,7.08,1.28,0.5006,0.0552,260.0,11.4,47.9,,,,,,,,,
1627832,Fred VanVleet,1610612745,HOU,31.0,Playoffs,7,40.0,0.429,18.7,4.1,0.4,3.7,4.4,1.0,0.3,1.9,2.3,0.43,0.435,1.0,0.575,0.632,0.175,0.173,2.38,21.4,9.0,0.01,0.088,0.05,115.3,111.4,3.9,93.17,0.111,3.0,113.0,108.3,4.7,0.183,3.9,-17.1,21.0,-78.3,6.833333333333333,2.36,-0.62,1.73,0.27,0.5051,0.0764,92.0,5.2,29.5,,,,,,,,,
1631094,Paolo Banchero,1610612753,ORL,22.0,Playoffs,5,39.4,0.2,29.4,8.4,2.4,6.0,4.2,0.6,0.8,3.0,3.6,0.435,0.444,0.659,0.484,0.517,0.365,0.221,1.4,11.7,8.4,0.057,0.165,0.107,106.8,115.2,-8.5,90.55,0.135,-7.2,102.9,111.7,-8.7,0.366,-8.5,-35.4,26.9,-37.3,6.35,3.73,-1.82,1.91,0.21,0.49,-0.0061,124.0,9.5,53.5,,,,,,,,,
201935,James Harden,1610612746,LAC,35.0,Playoffs,7,39.4,0.429,18.7,5.4,0.6,4.9,9.1,1.3,1.0,3.0,2.3,0.436,0.364,0.818,0.515,0.567,0.225,0.346,3.05,32.2,10.6,0.015,0.128,0.071,113.9,118.5,-4.6,92.4,0.123,-3.3,114.0,114.9,-0.9,0.232,-4.6,23.8,-28.4,-2.9,18.628333333333337,2.91,-0.72,2.19,0.29,0.5302,-0.0102,100.0,10.2,42.0,,,,,,,,,
1630559,Austin Reaves,1610612747,LAL,27.0,Playoffs,5,39.3,0.2,16.2,5.4,0.8,4.6,3.6,0.2,0.6,2.8,3.6,0.411,0.319,0.857,0.514,0.532,0.212,0.162,1.29,16.7,13.0,0.022,0.106,0.067,106.1,116.2,-10.1,92.27,0.073,-7.4,105.7,111.5,-5.8,0.217,-10.1,1.0,-11.1,-87.6,10.5,-2.44,-2.73,-5.17,-0.16,0.5292,-0.0155,73.0,3.6,30.0,,,,,,,,,
1628384,OG Anunoby,1610612752,NYK,27.0,Playoffs,18,39.2,0.556,16.3,4.6,1.3,3.3,1.3,2.0,1.2,1.7,2.7,0.417,0.339,0.81,0.5,0.539,0.182,0.051,0.8,7.3,9.2,0.032,0.083,0.057,110.7,113.2,-2.5,97.37,0.078,-2.0,108.0,110.0,-2.0,0.185,-2.5,5.5,-8.0,9.2,48.791666666666664,-0.53,0.37,-0.16,0.33,0.5427,-0.0406,246.0,1.3,23.3,,,,,,,,,
1628969,Mikal Bridges,1610612752,NYK,28.0,Playoffs,18,39.2,0.556,15.6,4.5,1.1,3.4,2.9,1.7,0.9,2.1,2.2,0.456,0.333,0.75,0.51,0.518,0.186,0.12,1.39,14.7,10.5,0.027,0.085,0.056,109.3,114.6,-5.3,96.75,0.084,-3.8,107.1,111.2,-4.1,0.19,-5.3,16.2,-21.5,10.2,49.28,-1.1,0.01,-1.09,0.16,0.5046,0.0108,260.0,2.5,26.1,,,,,,,,,
1630162,Anthony Edwards,1610612750,MIN,23.0,Playoffs,15,39.0,0.6,25.3,7.8,1.2,6.6,5.5,1.1,0.7,2.6,2.1,0.453,0.354,0.719,0.53,0.564,0.273,0.244,2.1,18.0,8.6,0.03,0.166,0.097,113.2,109.1,4.1,95.42,0.155,2.5,109.6,108.1,1.4,0.28,4.1,0.3,3.8,54.2,17.388333333333332,4.32,0.09,4.41,0.95,0.5458,-0.0103,295.0,8.1,43.6,,,,,,,,,
1631128,Christian Braun,1610612743,DEN,24.0,Playoffs,14,38.9,0.5,12.6,6.4,1.8,4.6,2.4,1.2,0.7,1.0,3.4,0.453,0.3,0.71,0.524,0.548,0.139,0.091,2.43,16.1,6.6,0.045,0.111,0.079,111.5,112.3,-0.9,97.07,0.072,-0.9,109.8,111.0,-1.1,0.141,-0.9,-24.7,23.8,0.4,34.85166666666667,-1.49,-0.56,-2.05,-0.01,0.5597,-0.0325,147.0,1.3,19.2,,,,,,,,,
1630532,Franz Wagner,1610612753,ORL,23.0,Playoffs,5,38.9,0.2,25.8,4.8,0.6,4.2,5.6,1.2,0.4,2.0,3.2,0.443,0.189,0.769,0.474,0.51,0.316,0.301,2.8,17.1,6.1,0.014,0.121,0.063,102.4,115.1,-12.7,91.63,0.135,-9.2,99.3,112.5,-13.3,0.321,-12.7,-22.4,9.7,-37.3,6.35,1.93,-0.94,1.0,0.16,0.5084,-0.0345,115.0,6.5,47.0,,,,,,,,,
