PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_RAPM,D_RAPM,RAPM,POSS,SEASON,SEASON_TYPE
1628983,S. Gilgeous-Alexander,OKC,4.64,2.22,6.86,11093,2024-25,Regular Season
1627827,D. Finney-Smith,BKN,3.57,2.46,6.03,7425,2024-25,Regular Season
203507,G. Antetokounmpo,MIL,4.19,1.62,5.81,9570,2024-25,Regular Season
203999,N. Jokić,DEN,5.89,-0.25,5.64,10980,2024-25,Regular Season
1627826,I. Zubac,LAC,1.83,2.46,4.29,10789,2024-25,Regular Season
1630532,F. Wagner,ORL,1.67,2.56,4.23,8242,2024-25,Regular Season
1631128,C. Braun,DEN,3.65,0.52,4.17,11283,2024-25,Regular Season
1629029,L. Dončić,DAL,3.17,1.0,4.17,7384,2024-25,Regular Season
1627783,P. Siakam,IND,0.86,3.0,3.86,10665,2024-25,Regular Season
201143,A. Horford,BOS,1.77,1.87,3.64,6768,2024-25,Regular Season
203110,D. Green,GSW,1.66,1.93,3.59,8316,2024-25,Regular Season
1628436,L. Kornet,BOS,2.19,1.31,3.5,5406,2024-25,Regular Season
1641726,D. Lively II,DAL,0.77,2.69,3.46,3473,2024-25,Regular Season
1628381,J. Collins,UTA,1.51,1.93,3.44,5151,2024-25,Regular Season
1630171,I. Okoro,CLE,2.37,1.05,3.42,4396,2024-25,Regular Season
1628386,J. Allen,CLE,2.06,1.32,3.38,9739,2024-25,Regular Season
1630174,A. Nesmith,IND,2.82,0.54,3.36,4729,2024-25,Regular Season
202695,K. Leonard,LAC,2.7,0.66,3.36,4778,2024-25,Regular Season
1628991,J. Jackson Jr.,MEM,0.63,2.73,3.36,9728,2024-25,Regular Season
1630596,E. Mobley,CLE,2.37,0.95,3.32,9142,2024-25,Regular Season
1630198,I. Joe,OKC,1.84,1.47,3.31,6807,2024-25,Regular Season
1629634,B. Clarke,MEM,1.36,1.74,3.1,5313,2024-25,Regular Season
1629652,L. Dort,OKC,1.69,1.29,2.98,8812,2024-25,Regular Season
1627936,A. Caruso,OKC,0.77,2.17,2.94,4438,2024-25,Regular Season
1631260,A. Green,MIL,0.29,2.62,2.91,6962,2024-25,Regular Season
1628401,D. White,BOS,1.92,0.99,2.91,10530,2024-25,Regular Season
1641708,A. Thompson,HOU,1.25,1.63,2.88,9300,2024-25,Regular Season
1641705,V. Wembanyama,SAS,0.4,2.48,2.88,6378,2024-25,Regular Season
1628366,L. Ball,CHI,0.75,2.07,2.82,3391,2024-25,Regular Season
1630578,A. Sengun,HOU,1.15,1.64,2.79,9956,2024-25,Regular Season
1630598,A. Wiggins,OKC,3.08,-0.31,2.77,7374,2024-25,Regular Season
202681,K. Irving,DAL,2.27,0.44,2.71,7524,2024-25,Regular Season
1641764,B. Podziemski,GSW,-0.32,3.03,2.71,7129,2024-25,Regular Season
1628969,M. Bridges,NYK,1.91,0.79,2.7,12426,2024-25,Regular Season
1630540,M. McBride,NYK,0.97,1.67,2.64,6598,2024-25,Regular Season
1629731,D. Wade,CLE,1.52,1.12,2.64,5262,2024-25,Regular Season
1629060,R. Hachimura,LAL,0.72,1.92,2.64,7727,2024-25,Regular Season
1627780,G. Payton II,GSW,1.95,0.68,2.63,3877,2024-25,Regular Season
1630549,D. Sharpe,BKN,0.75,1.86,2.61,3650,2024-25,Regular Season
1630205,L. Stevens,MEM,1.66,0.93,2.59,654,2024-25,Regular Season
1628378,D. Mitchell,CLE,1.61,0.97,2.58,9456,2024-25,Regular Season
1631165,K. Ellis,SAC,1.89,0.64,2.53,8014,2024-25,Regular Season
1629026,K. Williams,OKC,1.47,1.05,2.52,4720,2024-25,Regular Season
1631119,J. Williams,OKC,1.3,1.18,2.48,3321,2024-25,Regular Season
1631096,C. Holmgren,OKC,1.36,1.08,2.44,3788,2024-25,Regular Season
1626181,N. Powell,LAC,0.78,1.61,2.39,8145,2024-25,Regular Season
202699,T. Harris,DET,0.63,1.75,2.38,9718,2024-25,Regular Season
1627832,F. VanVleet,HOU,1.01,1.35,2.36,8733,2024-25,Regular Season
201587,N. Batum,LAC,-0.03,2.38,2.35,5650,2024-25,Regular Season
1641709,A. Thompson,DET,0.32,2.01,2.33,5656,2024-25,Regular Season
1626157,K. Towns,NYK,2.57,-0.24,2.33,10390,2024-25,Regular Season
1630611,G. Santos,GSW,1.52,0.77,2.29,3142,2024-25,Regular Season
203497,R. Gobert,MIN,-0.58,2.85,2.27,9732,2024-25,Regular Season
1628369,J. Tatum,BOS,1.38,0.86,2.24,10797,2024-25,Regular Season
1630529,H. Jones,NOP,0.46,1.75,2.21,2725,2024-25,Regular Season
1629675,N. Reid,MIN,1.51,0.58,2.09,9081,2024-25,Regular Season
1626166,C. Payne,NYK,0.78,1.29,2.07,4536,2024-25,Regular Season
1630595,C. Cunningham,DET,1.28,0.79,2.07,10408,2024-25,Regular Season
1627747,C. LeVert,CLE,2.63,-0.59,2.04,6867,2024-25,Regular Season
1629023,P. Washington,DAL,1.35,0.68,2.03,7759,2024-25,Regular Season
1629660,T. Jerome,CLE,2.1,-0.09,2.01,5896,2024-25,Regular Season
1628392,I. Hartenstein,OKC,0.56,1.45,2.01,6723,2024-25,Regular Season
202692,A. Burks,MIA,0.95,1.04,1.99,3499,2024-25,Regular Season
1631243,M. Gueye,ATL,0.23,1.75,1.98,2267,2024-25,Regular Season
1630558,D. Mitchell,TOR,0.5,1.43,1.93,8318,2024-25,Regular Season
1630559,A. Reaves,LAL,2.24,-0.31,1.93,10621,2024-25,Regular Season
1629630,J. Morant,MEM,0.39,1.53,1.92,6738,2024-25,Regular Season
201142,K. Durant,PHX,2.6,-0.68,1.92,9367,2024-25,Regular Season
1641744,Z. Edey,MEM,1.36,0.53,1.89,6153,2024-25,Regular Season
202710,J. Butler III,MIA,1.95,-0.06,1.89,7136,2024-25,Regular Season
1630241,S. Merrill,CLE,-0.27,2.15,1.88,5916,2024-25,Regular Season
1627739,K. Dunn,LAC,-0.29,2.16,1.87,7358,2024-25,Regular Season
1627759,J. Brown,BOS,2.69,-0.84,1.85,8916,2024-25,Regular Season
201939,S. Curry,GSW,3.69,-1.89,1.8,9532,2024-25,Regular Season
1631106,T. Eason,HOU,1.33,0.46,1.79,6027,2024-25,Regular Season
201144,M. Conley,MIN,0.92,0.86,1.78,7124,2024-25,Regular Season
1629614,A. Nembhard,IND,0.1,1.67,1.77,7897,2024-25,Regular Season
1628449,C. Boucher,TOR,1.82,-0.06,1.76,3563,2024-25,Regular Season
203914,G. Harris,ORL,0.36,1.38,1.74,2938,2024-25,Regular Season
1626156,D. Russell,LAL,0.17,1.56,1.73,6155,2024-25,Regular Season
1626172,K. Looney,GSW,0.04,1.68,1.72,4772,2024-25,Regular Season
1630256,J. Tate,HOU,0.45,1.25,1.7,2491,2024-25,Regular Season
1629638,N. Alexander-Walker,MIN,0.9,0.79,1.69,8590,2024-25,Regular Season
1629312,H. Highsmith,MIA,0.57,1.12,1.69,7333,2024-25,Regular Season
203486,M. Plumlee,PHX,1.65,0.03,1.68,5358,2024-25,Regular Season
1629674,N. Queta,BOS,1.54,0.13,1.67,3396,2024-25,Regular Season
203932,A. Gordon,DEN,1.06,0.61,1.67,6112,2024-25,Regular Season
1629627,Z. Williamson,NOP,1.76,-0.12,1.64,3660,2024-25,Regular Season
1627750,J. Murray,DEN,2.92,-1.28,1.64,10145,2024-25,Regular Season
1630162,A. Edwards,MIN,2.31,-0.68,1.63,11812,2024-25,Regular Season
1627884,D. Jones Jr.,LAC,1.2,0.42,1.62,7763,2024-25,Regular Season
1628396,T. Bradley,IND,0.46,1.13,1.59,481,2024-25,Regular Season
1629684,G. Williams,CHA,1.47,0.11,1.58,1998,2024-25,Regular Season
1642269,D. Carter,SAC,0.85,0.71,1.56,1618,2024-25,Regular Season
1627751,J. Poeltl,TOR,0.2,1.35,1.55,7338,2024-25,Regular Season
1629001,D. Melton,GSW,0.34,1.2,1.54,522,2024-25,Regular Season
1629162,J. McLaughlin,SAC,1.42,0.1,1.52,1280,2024-25,Regular Season
1630552,J. Johnson,ATL,0.06,1.43,1.49,5674,2024-25,Regular Season
203500,S. Adams,HOU,0.4,1.07,1.47,3324,2024-25,Regular Season
1628384,O. Anunoby,NYK,0.78,0.69,1.47,11008,2024-25,Regular Season
1631197,J. Rhoden,TOR,0.87,0.6,1.47,974,2024-25,Regular Season
1630696,D. Smith,MIA,-0.29,1.75,1.46,1111,2024-25,Regular Season
1629636,D. Garland,CLE,2.89,-1.45,1.44,9759,2024-25,Regular Season
1641763,J. Phillips,CHI,1.15,0.29,1.44,4812,2024-25,Regular Season
1631095,J. Smith Jr.,HOU,-0.45,1.85,1.4,7182,2024-25,Regular Season
1630166,D. Avdija,POR,1.85,-0.5,1.35,9024,2024-25,Regular Season
1630581,J. Giddey,CHI,1.43,-0.08,1.35,9180,2024-25,Regular Season
1628998,C. Martin,CHA,-0.08,1.41,1.33,4931,2024-25,Regular Season
1631306,C. Swider,TOR,0.64,0.68,1.32,738,2024-25,Regular Season
201572,B. Lopez,MIL,0.49,0.82,1.31,10620,2024-25,Regular Season
1630168,O. Okongwu,ATL,1.0,0.31,1.31,8968,2024-25,Regular Season
1628989,K. Huerter,SAC,0.84,0.46,1.3,7151,2024-25,Regular Season
1627736,M. Beasley,DET,0.83,0.47,1.3,9768,2024-25,Regular Season
