PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_RAPM,D_RAPM,RAPM,POSS,SEASON,SEASON_TYPE
1628983,S. Gilgeous-Alexander,OKC,6.88,2.4,9.28,31605,2025-26,Regular Season
203999,N. Jokić,DEN,7.61,1.06,8.67,31882,2025-26,Regular Season
202695,K. Leonard,LAC,5.04,2.42,7.46,22820,2025-26,Regular Season
1641705,V. Wembanyama,SAS,1.87,5.21,7.08,23272,2025-26,Regular Season
203507,G. Antetokounmpo,MIL,5.67,1.4,7.07,24807,2025-26,Regular Season
1628401,D. White,BOS,2.47,3.92,6.39,30997,2025-26,Regular Season
1631096,C. Holmgren,OKC,1.9,3.63,5.53,22425,2025-26,Regular Season
202710,J. Butler III,GSW,3.8,1.6,5.4,20368,2025-26,Regular Season
1627936,A. Caruso,OKC,0.63,4.5,5.13,17107,2025-26,Regular Season
1630700,D. Daniels,ATL,2.52,2.35,4.87,27583,2025-26,Regular Season
1641709,A. Thompson,DET,1.46,3.39,4.85,20258,2025-26,Regular Season
1628386,J. Allen,CLE,2.81,1.99,4.8,26244,2025-26,Regular Season
1629674,N. Queta,BOS,1.38,3.39,4.77,12436,2025-26,Regular Season
203935,M. Smart,LAL,1.0,3.71,4.71,12965,2025-26,Regular Season
1629029,L. Dončić,LAL,4.78,-0.07,4.71,28127,2025-26,Regular Season
1628384,O. Anunoby,NYK,2.37,2.25,4.62,27185,2025-26,Regular Season
1641708,A. Thompson,HOU,2.11,2.45,4.56,27254,2025-26,Regular Season
1630529,H. Jones,NOP,1.18,3.3,4.48,18926,2025-26,Regular Season
1628378,D. Mitchell,CLE,3.7,0.76,4.46,27510,2025-26,Regular Season
1631217,M. Diabaté,CHA,2.61,1.8,4.41,13045,2025-26,Regular Season
1630532,F. Wagner,ORL,2.02,2.36,4.38,22304,2025-26,Regular Season
1629731,D. Wade,CLE,1.45,2.92,4.37,15430,2025-26,Regular Season
1628374,L. Markkanen,UTA,2.57,1.71,4.28,20262,2025-26,Regular Season
1628392,I. Hartenstein,OKC,1.1,3.04,4.14,19235,2025-26,Regular Season
203497,R. Gobert,MIN,-1.68,5.81,4.13,30300,2025-26,Regular Season
1642864,H. González,BOS,2.0,2.04,4.04,4366,2025-26,Regular Season
1641744,Z. Edey,MEM,1.35,2.58,3.93,7345,2025-26,Regular Season
1642844,D. Harper,SAS,1.46,2.41,3.87,6558,2025-26,Regular Season
1627832,F. VanVleet,HOU,1.45,2.42,3.87,19887,2025-26,Regular Season
1627827,D. Finney-Smith,HOU,1.24,2.61,3.85,17845,2025-26,Regular Season
1630169,T. Haliburton,IND,4.04,-0.28,3.76,19930,2025-26,Regular Season
1641726,D. Lively II,DAL,1.43,2.18,3.61,9425,2025-26,Regular Season
1627783,P. Siakam,IND,2.34,1.22,3.56,30656,2025-26,Regular Season
203954,J. Embiid,PHI,2.26,1.26,3.52,12964,2025-26,Regular Season
1630188,J. Smith,CHI,2.84,0.6,3.44,13401,2025-26,Regular Season
1628389,B. Adebayo,MIA,1.16,2.28,3.44,30717,2025-26,Regular Season
202681,K. Irving,DAL,2.82,0.61,3.43,16074,2025-26,Regular Season
1626164,D. Booker,PHX,3.21,0.21,3.42,30710,2025-26,Regular Season
1630540,M. McBride,NYK,1.45,1.96,3.41,16279,2025-26,Regular Season
1630228,J. Kuminga,GSW,-0.08,3.28,3.2,16610,2025-26,Regular Season
1642851,K. Knueppel,CHA,2.45,0.72,3.17,10656,2025-26,Regular Season
1628368,D. Fox,SAS,2.74,0.38,3.12,30316,2025-26,Regular Season
203500,S. Adams,HOU,0.45,2.66,3.11,6303,2025-26,Regular Season
201950,J. Holiday,POR,0.96,2.12,3.08,23845,2025-26,Regular Season
1629634,B. Clarke,MEM,0.94,2.13,3.07,5976,2025-26,Regular Season
201939,S. Curry,GSW,5.17,-2.13,3.04,25587,2025-26,Regular Season
202699,T. Harris,DET,1.24,1.8,3.04,26854,2025-26,Regular Season
1630596,E. Mobley,CLE,1.36,1.67,3.03,24221,2025-26,Regular Season
1630559,A. Reaves,LAL,2.45,0.57,3.02,29162,2025-26,Regular Season
1630591,J. Suggs,ORL,-0.58,3.55,2.97,19443,2025-26,Regular Season
1630577,J. Champagnie,SAS,2.3,0.66,2.96,24114,2025-26,Regular Season
203932,A. Gordon,DEN,1.03,1.89,2.92,19642,2025-26,Regular Season
1631221,C. Gillespie,PHX,2.25,0.66,2.91,12141,2025-26,Regular Season
1629638,N. Alexander-Walker,ATL,2.16,0.73,2.89,27838,2025-26,Regular Season
1628369,J. Tatum,BOS,2.07,0.8,2.87,23803,2025-26,Regular Season
1626157,K. Towns,NYK,2.98,-0.11,2.87,28254,2025-26,Regular Season
201142,K. Durant,HOU,3.5,-0.64,2.86,32712,2025-26,Regular Season
