GAME_ID,GAME_DATE,STAGE,HOME_TEAM_ID,HOME_ABBR,AWAY_TEAM_ID,AWAY_ABBR,HOME_PTS,AWAY_PTS,STATUS,SEASON
0012500008,2025-10-02,Preseason,1610612752,NYK,1610612755,PHI,99,84,3,2025-26
0012500001,2025-10-03,Preseason,1610612747,LAL,1610612756,PHX,81,103,3,2025-26
0012500009,2025-10-03,Preseason,1610612740,NOP,15016,MEL,107,97,3,2025-26
0012500010,2025-10-04,Preseason,1610612755,PHI,1610612752,NYK,104,113,3,2025-26
0012500011,2025-10-04,Preseason,1610612740,NOP,50013,SEM,127,92,3,2025-26
0012500026,2025-10-04,Preseason,1610612751,BKN,50014,HAP,123,88,3,2025-26
0012500027,2025-10-04,Preseason,1610612748,MIA,1610612753,ORL,118,126,3,2025-26
0012500028,2025-10-04,Preseason,1610612743,DEN,1610612750,MIN,116,126,3,2025-26
0012500029,2025-10-05,Preseason,1610612766,CHA,1610612760,OKC,114,135,3,2025-26
0012500030,2025-10-05,Preseason,1610612744,GSW,1610612747,LAL,111,103,3,2025-26
0012500002,2025-10-06,Preseason,1610612748,MIA,1610612749,MIL,93,103,3,2025-26
0012500014,2025-10-06,Preseason,1610612745,HOU,1610612737,ATL,122,113,3,2025-26
0012500031,2025-10-06,Preseason,1610612763,MEM,1610612765,DET,112,128,3,2025-26
0012500032,2025-10-06,Preseason,1610612759,SAS,15018,GUA,119,88,3,2025-26
0012500033,2025-10-06,Preseason,1610612742,DAL,1610612760,OKC,106,89,3,2025-26
0012500034,2025-10-06,Preseason,1610612761,TOR,1610612743,DEN,108,112,3,2025-26
0012500035,2025-10-07,Preseason,1610612739,CLE,1610612741,CHI,117,118,3,2025-26
0012500036,2025-10-07,Preseason,1610612750,MIN,1610612754,IND,134,135,3,2025-26
0012500003,2025-10-08,Preseason,1610612748,MIA,1610612759,SAS,107,112,3,2025-26
0012500015,2025-10-08,Preseason,1610612744,GSW,1610612757,POR,129,123,3,2025-26
0012500016,2025-10-08,Preseason,1610612758,SAC,1610612761,TOR,122,130,3,2025-26
0012500037,2025-10-08,Preseason,1610612745,HOU,1610612762,UTA,140,127,3,2025-26
0012500038,2025-10-08,Preseason,1610612763,MEM,1610612738,BOS,103,121,3,2025-26
0012500039,2025-10-09,Preseason,1610612752,NYK,1610612750,MIN,100,95,3,2025-26
0012500040,2025-10-09,Preseason,1610612741,CHI,1610612739,CLE,119,112,3,2025-26
0012500041,2025-10-09,Preseason,1610612749,MIL,1610612765,DET,117,111,3,2025-26
0012500042,2025-10-09,Preseason,1610612760,OKC,1610612766,CHA,122,116,3,2025-26
0012500043,2025-10-09,Preseason,1610612746,LAC,15018,GUA,142,95,3,2025-26
0012500012,2025-10-10,Preseason,1610612751,BKN,1610612756,PHX,127,132,3,2025-26
0012500017,2025-10-10,Preseason,1610612757,POR,1610612758,SAC,124,123,3,2025-26
0012500044,2025-10-10,Preseason,1610612761,TOR,1610612738,BOS,107,105,3,2025-26
0012500045,2025-10-10,Preseason,1610612759,SAS,1610612762,UTA,134,130,3,2025-26
0012500070,2025-10-10,Preseason,1610612755,PHI,1610612753,ORL,98,128,3,2025-26
0012500018,2025-10-11,Preseason,1610612763,MEM,1610612737,ATL,116,122,3,2025-26
0012500046,2025-10-11,Preseason,1610612754,IND,1610612760,OKC,116,101,3,2025-26
0012500047,2025-10-11,Preseason,1610612742,DAL,1610612766,CHA,116,120,3,2025-26
0012500004,2025-10-12,Preseason,1610612747,LAL,1610612744,GSW,126,116,3,2025-26
0012500013,2025-10-12,Preseason,1610612756,PHX,1610612751,BKN,109,111,3,2025-26
0012500048,2025-10-12,Preseason,1610612764,WAS,1610612761,TOR,112,113,3,2025-26
0012500049,2025-10-12,Preseason,1610612753,ORL,1610612748,MIA,120,104,3,2025-26
0012500050,2025-10-12,Preseason,1610612738,BOS,1610612739,CLE,138,107,3,2025-26
0012500051,2025-10-12,Preseason,1610612741,CHI,1610612749,MIL,121,127,3,2025-26
0012500052,2025-10-12,Preseason,1610612746,LAC,1610612743,DEN,94,102,3,2025-26
0012500019,2025-10-13,Preseason,1610612737,ATL,1610612748,MIA,119,118,3,2025-26
0012500053,2025-10-13,Preseason,1610612754,IND,1610612759,SAS,108,124,3,2025-26
0012500054,2025-10-13,Preseason,1610612752,NYK,1610612764,WAS,103,120,3,2025-26
0012500055,2025-10-13,Preseason,1610612750,MIN,15018,GUA,134,74,3,2025-26
0012500056,2025-10-13,Preseason,1610612762,UTA,1610612742,DAL,101,114,3,2025-26
0012500020,2025-10-14,Preseason,1610612740,NOP,1610612745,HOU,128,130,3,2025-26
0012500021,2025-10-14,Preseason,1610612757,POR,1610612744,GSW,111,118,3,2025-26
0012500057,2025-10-14,Preseason,1610612739,CLE,1610612765,DET,118,100,3,2025-26
0012500058,2025-10-14,Preseason,1610612749,MIL,1610612760,OKC,112,116,3,2025-26
0012500059,2025-10-14,Preseason,1610612743,DEN,1610612741,CHI,124,117,3,2025-26
0012500060,2025-10-14,Preseason,1610612756,PHX,1610612747,LAL,113,104,3,2025-26
0012500005,2025-10-15,Preseason,1610612747,LAL,1610612742,DAL,94,121,3,2025-26
0012500022,2025-10-15,Preseason,1610612758,SAC,1610612746,LAC,91,109,3,2025-26
