PLAYER_ID,HX,HY,FGA,FGM,FG3A,FG3M,SEASON_TYPE
0,0.0,0.0,41462,30420,0,0,Regular Season
0,21.7,37.5,14145,7187,0,0,Regular Season
0,-21.7,37.5,13019,6528,0,0,Regular Season
0,0.0,75.0,6614,3039,0,0,Regular Season
0,129.9,225.0,5696,2047,5696,2047,Regular Season
0,-129.9,225.0,5560,1980,5560,1980,Regular Season
0,-216.5,0.0,5365,2061,5254,2008,Regular Season
0,43.3,0.0,5231,2733,0,0,Regular Season
0,-43.3,0.0,4383,2180,0,0,Regular Season
0,238.2,37.5,4380,1713,4379,1713,Regular Season
0,-21.7,262.5,3822,1352,3822,1352,Regular Season
0,-238.2,37.5,3810,1510,3810,1510,Regular Season
0,216.5,0.0,3767,1437,3678,1410,Regular Season
0,-194.9,187.5,3631,1279,3631,1279,Regular Season
0,21.7,262.5,3628,1281,3628,1281,Regular Season
0,-151.6,187.5,3369,1225,3309,1203,Regular Season
0,151.6,187.5,3110,1163,3040,1138,Regular Season
0,43.3,75.0,3086,1363,0,0,Regular Season
0,65.0,37.5,2986,1261,0,0,Regular Season
0,194.9,187.5,2930,1050,2930,1050,Regular Season
0,65.0,262.5,2902,992,2902,992,Regular Season
0,-43.3,75.0,2865,1272,0,0,Regular Season
0,21.7,112.5,2834,1335,0,0,Regular Season
0,-65.0,262.5,2721,953,2721,953,Regular Season
0,-21.7,112.5,2714,1250,0,0,Regular Season
0,-216.5,150.0,2605,971,2605,971,Regular Season
0,-173.2,225.0,2443,828,2443,828,Regular Season
0,-65.0,37.5,2402,972,0,0,Regular Season
0,216.5,150.0,2327,862,2327,862,Regular Season
0,86.6,225.0,2262,800,2200,773,Regular Season
0,-86.6,225.0,2208,780,2151,763,Regular Season
0,0.0,150.0,2079,958,0,0,Regular Season
0,108.3,262.5,1879,651,1879,651,Regular Season
0,-108.3,262.5,1866,665,1866,665,Regular Season
0,173.2,225.0,1829,602,1829,602,Regular Season
0,65.0,112.5,1798,822,0,0,Regular Season
0,216.5,75.0,1618,598,1575,582,Regular Season
0,-65.0,112.5,1616,758,0,0,Regular Season
0,86.6,150.0,1415,615,0,0,Regular Season
0,-86.6,150.0,1268,570,0,0,Regular Season
0,86.6,75.0,1263,545,0,0,Regular Season
0,-216.5,75.0,1241,457,1190,444,Regular Season
0,238.2,112.5,1224,465,1224,465,Regular Season
0,-238.2,112.5,1185,471,1185,471,Regular Season
0,-86.6,75.0,1129,457,0,0,Regular Season
