PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,O_SPM,D_SPM,SPM,SEASON,O_SPM_LOSO,D_SPM_LOSO,SPM_LOSO,POSS_BASE,SEASON_TYPE
1629958,Ahmad Caver,IND,27.54,0.6,28.14,2021-22,26.64,0.98,27.62,2,Regular Season
1628395,Jordan Bell,CHI,4.45,8.22,12.67,2021-22,3.78,8.67,12.45,4,Regular Season
1629602,Javin DeLaurier,MIL,0.16,8.63,8.79,2021-22,0.1,8.83,8.93,6,Regular Season
1629607,Jared Harper,NOP,6.92,1.32,8.24,2021-22,6.79,1.35,8.14,84,Regular Season
1629635,Sekou Doumbouya,LAL,2.57,5.03,7.6,2021-22,2.47,5.21,7.68,36,Regular Season
2207,Joe Johnson,BOS,7.6,-0.91,6.69,2021-22,7.32,-0.85,6.47,4,Regular Season
1628591,Craig Sword,WAS,1.08,4.02,5.1,2021-22,0.82,4.1,4.92,34,Regular Season
203999,Nikola Jokić,DEN,3.14,1.37,4.51,2021-22,3.2,1.31,4.51,5148,Regular Season
1628391,D.J. Wilson,TOR,2.2,2.16,4.36,2021-22,2.17,2.21,4.38,124,Regular Season
1630575,Scottie Lewis,CHA,1.52,2.77,4.29,2021-22,1.52,3.02,4.54,14,Regular Season
203507,Giannis Antetokounmpo,MIL,2.82,1.03,3.85,2021-22,2.85,1.05,3.9,4702,Regular Season
203954,Joel Embiid,PHI,2.47,0.94,3.41,2021-22,2.48,0.98,3.46,4627,Regular Season
1629005,Malik Newman,CLE,5.59,-2.2,3.39,2021-22,5.34,-2.23,3.11,12,Regular Season
101108,Chris Paul,PHX,1.79,0.9,2.69,2021-22,1.84,0.85,2.69,4464,Regular Season
1630194,Paul Reed,PHI,0.5,2.04,2.54,2021-22,0.37,2.13,2.5,610,Regular Season
2544,LeBron James,LAL,2.06,0.47,2.53,2021-22,2.06,0.44,2.5,4382,Regular Season
1628419,Cameron Oliver,ATL,2.34,-0.08,2.26,2021-22,2.25,-0.03,2.22,86,Regular Season
1629719,Devontae Cacok,SAS,0.07,2.17,2.24,2021-22,0.09,2.2,2.29,262,Regular Season
203497,Rudy Gobert,UTA,0.68,1.49,2.17,2021-22,0.75,1.52,2.27,4341,Regular Season
201142,Kevin Durant,BKN,2.05,0.11,2.16,2021-22,2.05,0.09,2.14,4352,Regular Season
203488,Mike Muscala,OKC,1.35,0.75,2.1,2021-22,1.36,0.78,2.14,1256,Regular Season
