TeamID,TeamCity,TeamName,Conference,Division,ConferenceRecord,PlayoffRank,WINS,LOSSES,WinPCT,HOME,ROAD,L10,STREAK,GB,TEAM_ABBREVIATION,SEASON_TYPE
1610612744,Golden State,Warriors,West,Pacific,35-17,1,57,25,0.695,30-11,27-14,8-2,L 1,0.0,GSW,Regular Season
1610612749,Milwaukee,Bucks,East,Central,40-12,1,60,22,0.732,33-8,27-14,7-3,L 1,0.0,MIL,Regular Season
1610612743,Denver,Nuggets,West,Northwest,34-18,2,54,28,0.659,34-7,20-21,5-5,W 1,3.0,DEN,Regular Season
1610612761,Toronto,Raptors,East,Atlantic,36-16,2,58,24,0.707,32-9,26-15,7-3,W 2,2.0,TOR,Regular Season
1610612755,Philadelphia,76ers,East,Atlantic,31-21,3,51,31,0.622,31-10,20-21,4-6,W 1,9.0,PHI,Regular Season
1610612757,Portland,Trail Blazers,West,Northwest,29-23,3,53,29,0.646,32-9,21-20,8-2,W 3,4.0,POR,Regular Season
1610612738,Boston,Celtics,East,Atlantic,35-17,4,49,33,0.598,28-13,21-20,6-4,W 1,11.0,BOS,Regular Season
1610612745,Houston,Rockets,West,Southwest,32-20,4,53,29,0.646,31-10,22-19,8-2,L 1,4.0,HOU,Regular Season
1610612754,Indiana,Pacers,East,Central,33-19,5,48,34,0.585,29-12,19-22,4-6,W 1,12.0,IND,Regular Season
1610612762,Utah,Jazz,West,Northwest,30-22,5,50,32,0.61,29-12,21-20,8-2,L 1,7.0,UTA,Regular Season
1610612751,Brooklyn,Nets,East,Atlantic,29-23,6,42,40,0.512,23-18,19-22,6-4,W 3,18.0,BKN,Regular Season
1610612760,Oklahoma City,Thunder,West,Northwest,28-24,6,49,33,0.598,27-14,22-19,7-3,W 5,8.0,OKC,Regular Season
1610612753,Orlando,Magic,East,Southeast,30-22,7,42,40,0.512,25-16,17-24,8-2,W 4,18.0,ORL,Regular Season
1610612759,San Antonio,Spurs,West,Southwest,30-22,7,48,34,0.585,32-9,16-25,6-4,W 3,9.0,SAS,Regular Season
1610612746,LA,Clippers,West,Pacific,28-24,8,48,34,0.585,26-15,22-19,6-4,W 1,9.0,LAC,Regular Season
1610612765,Detroit,Pistons,East,Central,27-25,8,41,41,0.5,26-15,15-26,4-6,W 2,19.0,DET,Regular Season
1610612758,Sacramento,Kings,West,Pacific,21-31,9,39,43,0.476,24-17,15-26,3-7,L 3,18.0,SAC,Regular Season
1610612766,Charlotte,Hornets,East,Southeast,29-23,9,39,43,0.476,25-16,14-27,6-4,L 1,21.0,CHA,Regular Season
1610612747,Los Angeles,Lakers,West,Pacific,25-27,10,37,45,0.451,22-19,15-26,6-4,L 1,20.0,LAL,Regular Season
1610612748,Miami,Heat,East,Southeast,23-29,10,39,43,0.476,19-22,20-21,4-6,L 1,21.0,MIA,Regular Season
1610612750,Minnesota,Timberwolves,West,Northwest,22-30,11,36,46,0.439,25-16,11-30,4-6,L 3,21.0,MIN,Regular Season
1610612764,Washington,Wizards,East,Southeast,19-33,11,32,50,0.39,22-19,10-31,2-8,L 4,28.0,WAS,Regular Season
1610612737,Atlanta,Hawks,East,Southeast,16-36,12,29,53,0.354,17-24,12-29,5-5,L 3,31.0,ATL,Regular Season
1610612763,Memphis,Grizzlies,West,Southwest,24-28,12,33,49,0.402,21-20,12-29,4-6,W 1,24.0,MEM,Regular Season
1610612740,New Orleans,Pelicans,West,Southwest,23-29,13,33,49,0.402,19-22,14-27,3-7,L 1,24.0,NOP,Regular Season
1610612741,Chicago,Bulls,East,Central,16-36,13,22,60,0.268,9-32,13-28,2-8,L 3,38.0,CHI,Regular Season
1610612739,Cleveland,Cavaliers,East,Central,15-37,14,19,63,0.232,13-28,6-35,0-10,L 10,41.0,CLE,Regular Season
1610612742,Dallas,Mavericks,West,Southwest,18-34,14,33,49,0.402,24-17,9-32,5-5,L 1,24.0,DAL,Regular Season
1610612752,New York,Knicks,East,Atlantic,11-41,15,17,65,0.207,9-32,8-33,3-7,L 1,43.0,NYK,Regular Season
1610612756,Phoenix,Suns,West,Pacific,11-41,15,19,63,0.232,12-29,7-34,2-8,L 2,38.0,PHX,Regular Season
