TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GP,W,L,TEAM_IPM,SRS,O_SRS,D_SRS,SOS,OSOS,DSOS,SEASON,SEASON_TYPE
1610612762,UTA,Utah Jazz,72,52,20,7.78,8.96,4.08,4.88,-0.29,-0.24,-0.04,2020-21,Regular Season
1610612746,LAC,LA Clippers,72,47,25,5.66,6.02,1.7,4.32,-0.16,-0.22,0.06,2020-21,Regular Season
1610612756,PHX,Phoenix Suns,72,51,21,5.0,5.67,3.04,2.64,-0.15,-0.15,0.0,2020-21,Regular Season
1610612743,DEN,Denver Nuggets,72,47,25,4.2,4.82,2.84,1.98,-0.11,-0.12,0.01,2020-21,Regular Season
1610612751,BKN,Brooklyn Nets,72,48,24,3.86,4.24,6.62,-2.38,-0.26,0.14,-0.41,2020-21,Regular Season
1610612749,MIL,Milwaukee Bucks,72,46,26,3.53,5.57,8.18,-2.62,-0.32,0.15,-0.47,2020-21,Regular Season
1610612755,PHI,Philadelphia 76ers,72,49,23,3.37,5.28,1.43,3.85,-0.31,-0.12,-0.19,2020-21,Regular Season
1610612757,POR,Portland Trail Blazers,72,42,30,2.65,1.8,4.07,-2.27,0.01,0.05,-0.04,2020-21,Regular Season
1610612742,DAL,Dallas Mavericks,72,42,30,2.38,2.26,0.23,2.03,-0.01,-0.13,0.12,2020-21,Regular Season
1610612737,ATL,Atlanta Hawks,72,41,31,1.98,2.14,1.62,0.52,-0.18,0.02,-0.2,2020-21,Regular Season
1610612752,NYK,New York Knicks,72,41,31,1.69,2.13,-5.33,7.46,-0.18,-0.27,0.09,2020-21,Regular Season
1610612744,GSW,Golden State Warriors,72,39,33,1.2,1.1,1.6,-0.5,0.04,-0.02,0.06,2020-21,Regular Season
1610612747,LAL,Los Angeles Lakers,72,42,30,1.13,2.76,-2.82,5.59,-0.03,-0.27,0.25,2020-21,Regular Season
1610612763,MEM,Memphis Grizzlies,72,38,34,0.85,1.07,1.16,-0.09,0.04,-0.04,0.08,2020-21,Regular Season
1610612748,MIA,Miami Heat,72,40,32,0.53,-0.06,-4.15,4.09,-0.09,-0.13,0.04,2020-21,Regular Season
1610612754,IND,Indiana Pacers,72,34,38,0.22,-0.12,3.4,-3.53,-0.08,0.19,-0.27,2020-21,Regular Season
1610612738,BOS,Boston Celtics,72,36,36,-0.1,1.32,0.54,0.77,-0.14,0.01,-0.15,2020-21,Regular Season
1610612740,NOP,New Orleans Pelicans,72,31,41,-0.42,-0.2,2.58,-2.78,0.1,0.07,0.02,2020-21,Regular Season
1610612761,TOR,Toronto Raptors,72,27,45,-0.7,-0.54,-0.8,0.26,-0.07,0.03,-0.1,2020-21,Regular Season
1610612764,WAS,Washington Wizards,72,34,38,-1.12,-1.84,4.87,-6.71,-0.01,0.32,-0.33,2020-21,Regular Season
1610612759,SAS,San Antonio Spurs,72,33,39,-1.23,-1.58,-1.03,-0.56,0.15,-0.02,0.17,2020-21,Regular Season
1610612758,SAC,Sacramento Kings,72,31,41,-1.67,-3.45,1.82,-5.27,0.23,0.18,0.05,2020-21,Regular Season
1610612741,CHI,Chicago Bulls,72,31,41,-1.67,-0.94,-1.39,0.45,-0.05,0.02,-0.07,2020-21,Regular Season
1610612766,CHA,Charlotte Hornets,72,33,39,-2.0,-1.94,-2.62,0.68,-0.01,0.01,-0.02,2020-21,Regular Season
1610612750,MIN,Minnesota Timberwolves,72,23,49,-3.58,-5.25,0.22,-5.47,0.31,0.19,0.12,2020-21,Regular Season
1610612765,DET,Detroit Pistons,72,20,52,-4.79,-4.38,-5.49,1.11,0.09,-0.0,0.1,2020-21,Regular Season
1610612745,HOU,Houston Rockets,72,17,55,-4.86,-7.5,-3.16,-4.34,0.4,0.14,0.26,2020-21,Regular Season
1610612739,CLE,Cleveland Cavaliers,72,22,50,-7.06,-8.19,-8.22,0.03,0.25,0.04,0.21,2020-21,Regular Season
1610612760,OKC,Oklahoma City Thunder,72,22,50,-7.78,-10.13,-7.0,-3.13,0.51,0.09,0.42,2020-21,Regular Season
1610612753,ORL,Orlando Magic,72,21,51,-9.05,-9.02,-8.01,-1.01,0.29,0.08,0.2,2020-21,Regular Season
