TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,FTA_RATE_RANK,OPP_EFG_PCT_RANK,OPP_FTA_RATE_RANK,OPP_TOV_PCT_RANK,OPP_OREB_PCT_RANK,SEASON_TYPE
1610612737,Atlanta Hawks,72,41,31,0.569,48.3,40.8,87.2,0.468,12.4,33.4,0.373,19.7,24.2,0.812,10.6,35.1,45.6,24.1,13.2,7.0,4.8,5.0,19.3,19.8,113.7,2.3,1,11,11,11,11,19,23,17,17,19,12,2,4,5,7,10,5,19,9,24,17,17,18,9,13,9,113.0,114.3,110.6,112.1,2.5,2.2,0.591,1.82,17.6,0.284,0.742,0.516,0.133,0.539,0.581,99.9,98.68,82.23,7160,0.511,9,18,11,18,14,20,6,9,7,10,16,10,22,10,0.278,0.53,0.237,0.124,0.258,4,6,10,29,9,Regular Season
1610612738,Boston Celtics,72,36,36,0.5,48.3,41.5,88.9,0.466,13.6,36.4,0.374,16.1,20.8,0.775,10.6,33.6,44.3,23.5,14.1,7.7,5.3,4.6,20.4,19.3,112.6,1.5,1,16,16,16,16,13,11,19,11,10,10,25,25,16,4,22,15,25,16,13,6,11,24,13,16,13,111.0,113.1,110.0,111.8,0.9,1.2,0.566,1.67,17.1,0.289,0.737,0.51,0.141,0.543,0.574,100.7,98.94,82.45,7172,0.501,10,13,13,27,22,26,3,13,10,18,12,16,20,17,0.234,0.539,0.273,0.142,0.263,23,16,27,13,13,Regular Season
1610612739,Cleveland Cavaliers,72,22,50,0.306,48.4,38.6,85.8,0.45,10.0,29.7,0.336,16.7,22.4,0.743,10.4,32.3,42.8,23.8,15.5,7.8,4.5,5.9,18.2,20.2,103.8,-8.4,1,26,26,26,6,29,28,25,29,28,30,14,9,26,10,28,24,21,29,12,20,29,7,6,30,28,103.1,105.2,112.1,113.5,-8.9,-8.3,0.618,1.54,17.5,0.28,0.729,0.499,0.157,0.508,0.543,99.6,97.96,81.64,7107,0.46,28,25,28,12,29,21,7,21,15,29,29,28,25,27,0.261,0.556,0.235,0.145,0.271,7,29,8,9,21,Regular Season
1610612740,New Orleans Pelicans,72,31,41,0.431,48.4,42.5,89.1,0.477,10.6,30.4,0.348,19.0,26.1,0.729,11.7,35.7,47.4,26.0,14.6,7.6,4.4,5.9,18.0,21.3,114.6,-0.3,1,21,21,21,6,9,10,7,27,25,26,4,2,29,1,3,3,10,22,15,24,30,4,2,9,18,110.8,113.0,111.6,113.3,-0.7,-0.3,0.612,1.78,18.3,0.302,0.755,0.527,0.144,0.537,0.57,102.3,100.54,83.79,7303,0.508,11,23,18,13,18,11,1,3,2,22,17,17,10,14,0.293,0.55,0.236,0.132,0.245,2,25,9,19,3,Regular Season
1610612741,Chicago Bulls,72,31,41,0.431,48.3,42.2,88.6,0.476,12.6,34.0,0.37,13.8,17.5,0.791,9.6,35.3,45.0,26.8,15.1,6.7,4.2,5.1,18.9,17.7,110.7,-0.9,1,21,21,21,16,10,14,9,16,17,13,30,30,11,19,8,11,8,27,28,27,18,10,30,21,20,108.7,110.4,109.9,111.5,-1.2,-1.1,0.635,1.77,19.2,0.267,0.767,0.519,0.151,0.547,0.575,101.1,99.58,82.99,7220,0.499,21,12,20,4,20,8,16,1,4,27,10,14,13,18,0.197,0.538,0.253,0.127,0.233,30,14,17,26,1,Regular Season
1610612742,Dallas Mavericks,72,42,30,0.583,48.1,41.1,87.3,0.47,13.8,38.1,0.362,16.5,21.2,0.778,9.1,34.2,43.3,22.9,12.1,6.3,4.3,3.7,19.4,20.1,112.4,2.3,1,8,8,8,24,18,22,13,8,6,18,18,20,15,25,17,21,26,3,30,26,2,19,7,17,11,112.9,114.6,110.4,112.3,2.5,2.3,0.557,1.9,17.2,0.253,0.734,0.496,0.123,0.55,0.582,99.5,97.94,81.62,7062,0.51,8,21,10,28,9,23,21,17,16,3,8,8,26,11,0.242,0.534,0.259,0.129,0.266,15,11,24,22,17,Regular Season
1610612743,Denver Nuggets,72,47,25,0.653,48.6,43.3,89.2,0.485,12.9,34.2,0.377,15.7,19.5,0.803,10.5,33.9,44.4,26.8,13.5,8.1,4.5,4.5,19.1,19.2,115.1,4.9,1,5,5,5,1,4,9,4,15,16,8,27,27,7,8,19,13,5,12,8,21,7,14,15,8,6,114.2,116.3,110.0,111.5,4.2,4.8,0.621,1.99,19.3,0.292,0.751,0.522,0.136,0.557,0.588,99.3,97.74,81.45,7123,0.525,6,11,6,11,5,4,2,6,3,15,6,6,27,7,0.219,0.545,0.258,0.143,0.249,28,21,23,12,6,Regular Season
1610612744,Golden State Warriors,72,39,33,0.542,48.1,41.3,88.2,0.468,14.6,38.7,0.376,16.6,21.1,0.785,8.0,35.1,43.0,27.7,15.0,8.2,4.8,4.3,21.2,19.5,113.7,1.1,1,14,14,14,24,15,17,14,3,5,9,16,21,13,30,12,22,1,26,6,17,6,28,11,12,14,108.8,110.5,107.7,109.4,1.1,1.1,0.67,1.84,19.6,0.222,0.727,0.48,0.146,0.551,0.583,104.4,102.81,85.67,7412,0.51,20,5,15,3,12,2,30,22,27,24,7,7,3,12,0.239,0.522,0.286,0.146,0.273,20,4,29,7,22,Regular Season
1610612745,Houston Rockets,72,17,55,0.236,48.1,39.3,88.5,0.444,13.8,40.6,0.339,16.5,22.3,0.74,9.3,33.3,42.6,23.6,14.7,7.6,5.0,5.3,19.5,19.3,108.8,-7.9,1,30,30,30,24,25,15,28,9,3,28,17,10,27,23,24,27,24,23,14,14,21,21,14,24,27,104.9,107.0,112.4,114.4,-7.5,-7.4,0.601,1.6,17.2,0.24,0.723,0.474,0.145,0.521,0.553,103.6,101.69,84.74,7320,0.451,27,27,27,16,28,25,28,25,30,23,24,27,6,28,0.252,0.555,0.256,0.144,0.277,11,27,18,10,25,Regular Season
1610612746,LA Clippers,72,47,25,0.653,48.0,41.8,86.7,0.482,14.3,34.7,0.411,16.2,19.3,0.839,9.4,34.7,44.2,24.4,13.2,7.1,4.1,4.2,19.2,18.1,114.0,6.2,1,5,5,5,30,12,25,5,6,14,1,24,28,1,21,14,17,17,7,20,29,5,17,27,10,2,115.2,116.7,108.7,110.6,6.6,6.1,0.584,1.85,18.1,0.27,0.754,0.518,0.135,0.564,0.599,99.1,97.63,81.35,7036,0.53,3,8,2,21,11,12,12,5,6,14,4,2,28,6,0.222,0.531,0.239,0.132,0.246,27,8,12,18,5,Regular Season
